Scenario,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 3.0AMPERE2-450-LowEI-HST,31473.0847,30757.7545,39140.4539,45018.5534,41084.7394,33360.1028,18084.8149,1155.80972,-17147.954,-32881.499,-49984.54
GCAM 3.0AMPERE2-450-LowEI-LST,31473.0847,30757.7545,37636.0445,37986.3851,39894.4047,33492.3576,19546.5585,3334.18544,-15143.025,-31031.999,-48162.828
GCAM 3.0AMPERE2-450-LowEI-OPT,31473.0847,30757.7545,36629.0471,40877.9765,40301.5194,33581.6961,19354.7315,2904.05005,-15552.18,-31367.055,-48521.535
GCAM 3.0AMPERE2-450-NoCCS-HST,31473.4011,31534.8439,40955.0057,45504.8629,20841.3585,12944.5644,2754.43215,-2690.2657,-4348.6627,-5774.6137,-7949.4233
GCAM 3.0AMPERE2-450-NoCCS-LST,31473.4013,31534.8393,37939.5233,38324.0859,22672.6923,15382.0126,4832.301,-2453.3117,-4009.5904,-5611.7265,-7389.4475
GCAM 3.0AMPERE2-450-NoCCS-OPT,31473.4013,31534.8393,33332.624,32155.8431,24607.4555,17614.0942,7176.02494,-1213.515,-3746.532,-5417.6174,-6724.7756
GCAM 3.0AMPERE2-450-NucOff-HST,31473.4013,31534.8393,40933.8966,45351.7797,45167.2546,36009.1198,19163.4451,140.82847,-18674.248,-37849.763,-58256.457
GCAM 3.0AMPERE2-450-NucOff-LST,31473.4013,31534.8393,37916.1624,38054.8069,44040.7136,36737.5688,21181.587,2558.35128,-16851.108,-35889.595,-56885.836
GCAM 3.0AMPERE2-450-NucOff-OPT,31473.4013,31534.8393,38833.8421,45008.7065,45107.6029,36310.9302,19672.1276,700.15245,-18228.859,-37354.417,-58022.444
GCAM 3.0AMPERE2-550-Conv-OPT,31473.4168,31550.977,38160.1155,42497.7031,38431.082,30052.9837,20699.0221,13172.3324,6865.1501,1834.60983,-835.08257
GCAM 3.0AMPERE2-550-EERE-OPT,31473.0847,30757.7545,35791.5188,40160.7152,40156.1007,35663.2693,24851.5696,14772.3797,4364.31569,-1650.3063,-2608.0561
