MODEL,SCENARIO,Year,MAF,OECD
IMAGE,SSP1-26,2080,42.938493480240794,79.58461643566932
IMAGE,SSP1-26,2090,55.267595595199914,88.58705288497681
IMAGE,SSP1-26,2100,68.91038762724419,98.83639597305557
MESSAGE-GLOBIOM,SSP2-34,2005,3.839795065586279,30.755735242298915
MESSAGE-GLOBIOM,SSP2-34,2010,4.314011069035828,31.16622634388311
MESSAGE-GLOBIOM,SSP2-34,2020,5.5551920862556265,36.74604329478631
MESSAGE-GLOBIOM,SSP2-34,2030,7.316109140011262,42.50565857593191
MESSAGE-GLOBIOM,SSP2-34,2040,9.384945568529997,48.03330962446755
MESSAGE-GLOBIOM,SSP2-34,2050,12.085671639301886,53.613902814819454
MESSAGE-GLOBIOM,SSP2-34,2060,15.793479543179854,59.673954057862765
MESSAGE-GLOBIOM,SSP2-34,2070,21.06088570727492,66.58861214317386
MESSAGE-GLOBIOM,SSP2-34,2080,27.84377023998047,73.89948802718277
MESSAGE-GLOBIOM,SSP2-34,2090,36.43438657917772,81.73664859186479
MESSAGE-GLOBIOM,SSP2-34,2100,46.930433965869604,90.50869578891091
MESSAGE-GLOBIOM,SSP2-45,2005,3.839795065586279,30.755735242298915
MESSAGE-GLOBIOM,SSP2-45,2010,4.317409457228857,31.163889937276473
MESSAGE-GLOBIOM,SSP2-45,2020,5.562257929446247,36.746984857952356
MESSAGE-GLOBIOM,SSP2-45,2030,7.332947009911383,42.51709918763426
MESSAGE-GLOBIOM,SSP2-45,2040,9.428904922600474,48.07262904682368
MESSAGE-GLOBIOM,SSP2-45,2050,12.146960966620247,53.693443558920364
MESSAGE-GLOBIOM,SSP2-45,2060,15.92248823128708,59.786075666684646
MESSAGE-GLOBIOM,SSP2-45,2070,21.23940696801909,66.81558949895265
MESSAGE-GLOBIOM,SSP2-45,2080,28.093347213791844,74.18149398106695
MESSAGE-GLOBIOM,SSP2-45,2090,36.72067814904273,82.10362886406823
MESSAGE-GLOBIOM,SSP2-45,2100,47.324918949206015,90.96754410793473
REMIND-MAGPIE,SSP5-Baseline,2005,3.639985801757032,28.571548892445044
REMIND-MAGPIE,SSP5-Baseline,2010,4.165941627778217,28.972131147540985
REMIND-MAGPIE,SSP5-Baseline,2020,5.5416146620245685,34.425318409880354
REMIND-MAGPIE,SSP5-Baseline,2030,8.63415748301262,42.32173787528868
REMIND-MAGPIE,SSP5-Baseline,2040,14.23516742731142,54.689319074049
REMIND-MAGPIE,SSP5-Baseline,2050,22.419708377013247,66.50482968988308
REMIND-MAGPIE,SSP5-Baseline,2060,34.008207934336525,79.51757532281205
REMIND-MAGPIE,SSP5-Baseline,2070,49.96653429119629,95.12776831345826
REMIND-MAGPIE,SSP5-Baseline,2080,70.2389443651926,113.56348167539268
REMIND-MAGPIE,SSP5-Baseline,2090,95.27309018326982,135.19333793030287
REMIND-MAGPIE,SSP5-Baseline,2100,125.99690009863323,160.99890402379836
Observations,Observations,1960,1.7499492159112868,10.370993325093197
Observations,Observations,1961,1.779045237155109,10.68956530214008
Observations,Observations,1962,1.8117549421716843,11.162833470119924
Observations,Observations,1963,1.8937059854601919,11.578778503643164
Observations,Observations,1964,1.9637211446482667,12.172118323173969
Observations,Observations,1965,2.045710372354489,12.681624958192398
Observations,Observations,1966,2.0858732205262864,13.263680223631045
Observations,Observations,1967,2.099336527247672,13.63646017925444
Observations,Observations,1968,2.2005572335708536,14.303513266555147
Observations,Observations,1969,2.3244738301330687,14.933113804835365
Observations,Observations,1970,2.4747383387480744,15.276966009900677
Observations,Observations,1971,2.5837550200006087,15.649994554900015
Observations,Observations,1972,2.6997769964174654,16.319350316732933
Observations,Observations,1973,2.7958757082327974,17.142551306254468
