ModelScenario,CumulativeCO2post2010,"Cumulative CO2 emissions (2010-2100, thousand Gt)",divergence0550steps,divergence0550aps,tolerance03in2005to2050steps,tolerance03in2005to2050aps
BET 1.5EMF27-450-Conv,1057646.7136870215,1.0576467136870216,-2.5969261394456367,-1.5033251301123034,N,N
BET 1.5EMF27-450-FullTech,1060729.293016725,1.060729293016725,-2.1931823038833973,-1.099581294550064,N,N
BET 1.5EMF27-450-LimBio,1057783.4726516744,1.0577834726516744,-2.61458227243586,-1.5209812631025268,N,N
BET 1.5EMF27-450-LimSW,1060752.757492086,1.0607527574920859,-2.1841997528095147,-1.0905987434761815,N,N
BET 1.5EMF27-450-LowEI,1063723.6346632726,1.0637236346632726,-2.1609753779529544,-1.0673743686196209,N,N
BET 1.5EMF27-450-NucOff,1060371.3402189782,1.0603713402189783,-1.9766804349147273,-0.8830794255813939,N,N
BET 1.5EMF27-550-Conv,1816376.2748066757,1.8163762748066756,-0.7776899983809175,0.3159110109524159,N,N
BET 1.5EMF27-550-EERE,1820345.2842928818,1.8203452842928818,-0.7549678585853352,0.33863315074799816,N,N
BET 1.5EMF27-550-FullTech,1835729.6513157666,1.8357296513157666,-0.4337510462374537,0.6598499630958797,N,N
BET 1.5EMF27-550-LimBio,1817238.5967547402,1.8172385967547402,-0.7276167625753711,0.36598424675796226,N,N
BET 1.5EMF27-550-LimSW,1836747.7750237514,1.8367477750237515,-0.4431354824503979,0.6504655268829355,N,N
BET 1.5EMF27-550-LimTech,1814302.3549378624,1.8143023549378623,-0.7367175296357961,0.3568834796975373,N,N
BET 1.5EMF27-550-LowEI,1843465.283243298,1.843465283243298,-0.3649236621160805,0.7286773472172529,N,N
BET 1.5EMF27-550-NoCCS,1815572.6753050745,1.8155726753050745,-0.701468463650043,0.39213254568329037,N,N
BET 1.5EMF27-550-NucOff,1833262.9527251949,1.833262952725195,-0.3536376230069392,0.7399633863263942,N,N
BET 1.5EMF27-Base-Conv,6679012.262018194,6.679012262018194,1.9455110890562706,3.039112098389604,N,N
BET 1.5EMF27-Base-EERE,4600829.467006252,4.600829467006252,1.2389173247128977,2.332518334046231,N,N
BET 1.5EMF27-Base-FullTech,6423325.384237189,6.423325384237189,1.8650167067100973,2.9586177160434306,N,N
BET 1.5EMF27-Base-LimBio,6609182.44068941,6.60918244068941,1.939137165011589,3.032738174344922,N,N
BET 1.5EMF27-Base-LimSW,6476483.090333703,6.476483090333703,1.8757020392919288,2.969303048625262,N,N
BET 1.5EMF27-Base-LimTech,4850317.4695924,4.8503174695924,1.2740765129619276,2.367677522295261,N,N
BET 1.5EMF27-Base-LowEI,4494156.455882462,4.494156455882462,1.2352351809960167,2.3288361903293504,N,N
BET 1.5EMF27-Base-NucOff,6697528.608760631,6.6975286087606305,1.8813191926552189,2.974920201988552,N,N
EC-IAM 2012EMF27-550-Conv,1652929.5288360405,1.6529295288360406,-0.8111191164409544,0.282481892892379,N,Y
EC-IAM 2012EMF27-550-EERE,1650342.7567963118,1.6503427567963118,-0.9731816939969283,0.12041931533640504,N,Y
EC-IAM 2012EMF27-550-FullTech,1652794.35063031,1.65279435063031,-0.8230651649524349,0.2705358443808985,N,Y
EC-IAM 2012EMF27-550-LimBio,1654309.8935333428,1.6543098935333427,-0.811428946465591,0.28217206286774227,N,Y
EC-IAM 2012EMF27-550-LimSW,1652122.5340498355,1.6521225340498356,-0.8221769713980639,0.2714240379352695,N,Y
EC-IAM 2012EMF27-550-LimTech,1662655.1067278166,1.6626551067278166,-0.764254682713567,0.32934632661976637,N,N
EC-IAM 2012EMF27-550-LowEI,1643902.6772913455,1.6439026772913456,-1.0311212704615729,0.06247973887176039,N,Y
EC-IAM 2012EMF27-550-NoCCS,1655902.5283532066,1.6559025283532065,-0.8043345900258614,0.28926641930747193,N,Y
