SCENARIO,Path,Year,CO2intensity
SSP3-45-SSP2pop,1.5-degree path,2066,NA
SSP3-45-SSP2pop,1.5-degree path,2067,NA
SSP3-45-SSP2pop,1.5-degree path,2068,NA
SSP3-45-SSP2pop,1.5-degree path,2069,NA
SSP3-45-SSP2pop,1.5-degree path,2070,1.684654690733043e-6
SSP3-45-SSP2pop,1.5-degree path,2071,NA
SSP3-45-SSP2pop,1.5-degree path,2072,NA
SSP3-45-SSP2pop,1.5-degree path,2073,NA
SSP3-45-SSP2pop,1.5-degree path,2074,NA
SSP3-45-SSP2pop,1.5-degree path,2075,NA
SSP3-45-SSP2pop,1.5-degree path,2076,NA
SSP3-45-SSP2pop,1.5-degree path,2077,NA
SSP3-45-SSP2pop,1.5-degree path,2078,NA
SSP3-45-SSP2pop,1.5-degree path,2079,NA
SSP3-45-SSP2pop,1.5-degree path,2080,1.0251580458813209e-7
SSP3-45-SSP2pop,1.5-degree path,2081,NA
SSP3-45-SSP2pop,1.5-degree path,2082,NA
SSP3-45-SSP2pop,1.5-degree path,2083,NA
SSP3-45-SSP2pop,1.5-degree path,2084,NA
SSP3-45-SSP2pop,1.5-degree path,2085,NA
SSP3-45-SSP2pop,1.5-degree path,2086,NA
SSP3-45-SSP2pop,1.5-degree path,2087,NA
SSP3-45-SSP2pop,1.5-degree path,2088,NA
SSP3-45-SSP2pop,1.5-degree path,2089,NA
SSP3-45-SSP2pop,1.5-degree path,2090,4.9706901771980815e-9
SSP3-45-SSP2pop,1.5-degree path,2091,NA
SSP3-45-SSP2pop,1.5-degree path,2092,NA
SSP3-45-SSP2pop,1.5-degree path,2093,NA
SSP3-45-SSP2pop,1.5-degree path,2094,NA
SSP3-45-SSP2pop,1.5-degree path,2095,NA
SSP3-45-SSP2pop,1.5-degree path,2096,NA
SSP3-45-SSP2pop,1.5-degree path,2097,NA
SSP3-45-SSP2pop,1.5-degree path,2098,NA
SSP3-45-SSP2pop,1.5-degree path,2099,NA
SSP3-45-SSP2pop,1.5-degree path,2100,0
SSP3-Baseline,NA,2005,0.6280854741724645
SSP3-Baseline,NA,2010,0.6103856287677336
SSP3-Baseline,NA,2020,0.49772913187505446
SSP3-Baseline,NA,2030,0.4217794704068956
SSP3-Baseline,NA,2040,0.38736232039695423
SSP3-Baseline,NA,2050,0.36855680260748386
SSP3-Baseline,NA,2060,0.35753822099703286
SSP3-Baseline,NA,2070,0.34532971149036057
SSP3-Baseline,NA,2080,0.33330448190390505
SSP3-Baseline,NA,2090,0.3243356769642344
SSP3-Baseline,NA,2100,0.31530152072965423
SSP4-60,NA,2005,NA
SSP4-60,NA,2010,0.5344689772149234
SSP4-60,NA,2020,0.40119985323790974
SSP4-60,NA,2030,0.32650928060575873
SSP4-60,NA,2040,0.26857675711870216
SSP4-60,NA,2050,0.2238777133935162
SSP4-60,NA,2060,0.18921928698602766
SSP4-60,NA,2070,0.15824291619478945
SSP4-60,NA,2080,0.11974063093033047
SSP4-60,NA,2090,0.08646884579567479
SSP4-60,NA,2100,0.058420410505756706
SSP1-19,NA,2005,0.5777268704863141
SSP1-19,NA,2010,0.5183735433695705
SSP1-19,NA,2020,0.3261670937615252
SSP1-19,NA,2030,0.11528659126072986
SSP1-19,NA,2040,0.028736897510323357
SSP1-19,NA,2050,0.0033231430889146822
SSP1-19,NA,2060,-0.004631036608053961
SSP1-19,NA,2070,-0.009866469775258714
SSP1-19,NA,2080,-0.01550254099705632
SSP1-19,NA,2090,-0.02013372929142539
SSP1-19,NA,2100,-0.02536379163878495
SSP1-26,NA,2005,0.5777268704863141
SSP1-26,NA,2010,0.5183734387645255
SSP1-26,NA,2020,0.3770531811751476
SSP1-26,NA,2030,0.2177085711420646
SSP1-26,NA,2040,0.11606298880918847
SSP1-26,NA,2050,0.060874867719333516
SSP1-26,NA,2060,0.029654961523981074
SSP1-26,NA,2070,0.01141269430387186
SSP1-26,NA,2080,-0.006145818605935518
SSP1-26,NA,2090,-0.015429023429077334
SSP1-26,NA,2100,-0.0147638899100692
SSP2-34,NA,2005,0.6681224650618255
SSP2-34,NA,2010,0.5967437032529684
SSP2-34,NA,2020,0.4120842023155837
SSP2-34,NA,2030,0.2941487125067279
SSP2-34,NA,2040,0.20615885994110036
SSP2-34,NA,2050,0.14167609479342155
SSP2-34,NA,2060,0.08722605061023372
SSP2-34,NA,2070,0.04615216841349772
SSP2-34,NA,2080,0.020215128387608534
SSP2-34,NA,2090,0.004044386224644455
SSP2-34,NA,2100,-0.0026659622209342666
SSP2-45,NA,2005,0.6681223641151184
SSP2-45,NA,2010,0.5967323731034351
SSP2-45,NA,2020,0.41779934663957863
SSP2-45,NA,2030,0.31034839105914996
SSP2-45,NA,2040,0.2395406988591652
SSP2-45,NA,2050,0.18555602115836894
SSP2-45,NA,2060,0.13955343396062553
SSP2-45,NA,2070,0.1018565335800981
SSP2-45,NA,2080,0.06513309093863831
SSP2-45,NA,2090,0.0334387433157182
SSP2-45,NA,2100,0.017029328224387498
SSP5-Baseline,NA,2005,0.6223256394425825
SSP5-Baseline,NA,2010,0.5382732662424153
SSP5-Baseline,NA,2020,0.437785959764475
SSP5-Baseline,NA,2030,0.34213782870928827
SSP5-Baseline,NA,2040,0.26849199461952344
SSP5-Baseline,NA,2050,0.23152307677543188
SSP5-Baseline,NA,2060,0.21179514196111227
SSP5-Baseline,NA,2070,0.19395811472433144
SSP5-Baseline,NA,2080,0.17485734242506076
SSP5-Baseline,NA,2090,0.14779273693754957
SSP5-Baseline,NA,2100,0.12230619078564502
