ModelScenario,SSPscenario,RCPScenario,Marker,CumulativeCO2post2010,"Cumulative CO2 emissions (2010-2100, thousand Gt)"
REMIND-MAGPIE SSP5-34,SSP5,RCP3.4,Non-marker,2158575.658232233,2.158575658232233
REMIND-MAGPIE SSP5-45,SSP5,RCP4.5,Non-marker,3097728.0210893215,3.0977280210893214
REMIND-MAGPIE SSP5-60,SSP5,RCP6.0,Non-marker,4517136.848256718,4.517136848256718
REMIND-MAGPIE SSP5-Baseline,SSP5,Baseline,Marker,8244495.068606424,8.244495068606424
WITCH-GLOBIOM SSP1-19,SSP1,RCP1.9,Non-marker,523418.1341446094,0.5234181341446094
WITCH-GLOBIOM SSP1-26,SSP1,RCP2.6,Non-marker,1252574.000240372,1.252574000240372
WITCH-GLOBIOM SSP1-34,SSP1,RCP3.4,Non-marker,2028109.3348396353,2.0281093348396353
WITCH-GLOBIOM SSP1-45,SSP1,RCP4.5,Non-marker,2905407.3756417003,2.9054073756417003
WITCH-GLOBIOM SSP1-60,SSP1,RCP6.0,Non-marker,3743067.9222751125,3.7430679222751126
WITCH-GLOBIOM SSP1-Baseline,SSP1,Baseline,Non-marker,3933301.369935638,3.933301369935638
WITCH-GLOBIOM SSP2-26,SSP2,RCP2.6,Non-marker,1225490.659625636,1.2254906596256359
WITCH-GLOBIOM SSP2-34,SSP2,RCP3.4,Non-marker,1973880.482623379,1.973880482623379
WITCH-GLOBIOM SSP2-45,SSP2,RCP4.5,Non-marker,2873775.3310474986,2.8737753310474985
WITCH-GLOBIOM SSP2-60,SSP2,RCP6.0,Non-marker,4224003.7963929875,4.224003796392988
WITCH-GLOBIOM SSP2-Baseline,SSP2,Baseline,Non-marker,5688200.923069966,5.688200923069966
WITCH-GLOBIOM SSP3-34,SSP3,RCP3.4,Non-marker,1773529.1372675207,1.7735291372675206
WITCH-GLOBIOM SSP3-45,SSP3,RCP4.5,Non-marker,2762202.3320729183,2.7622023320729183
WITCH-GLOBIOM SSP3-60,SSP3,RCP6.0,Non-marker,4035772.3610882247,4.035772361088225
WITCH-GLOBIOM SSP3-Baseline,SSP3,Baseline,Non-marker,6002533.448881919,6.002533448881919
WITCH-GLOBIOM SSP4-19,SSP4,RCP1.9,Non-marker,596317.939360197,0.5963179393601971
WITCH-GLOBIOM SSP4-26,SSP4,RCP2.6,Non-marker,1331114.505159142,1.331114505159142
WITCH-GLOBIOM SSP4-34,SSP4,RCP3.4,Non-marker,2086151.6380277746,2.0861516380277747
WITCH-GLOBIOM SSP4-45,SSP4,RCP4.5,Non-marker,2965286.2408006666,2.965286240800667
WITCH-GLOBIOM SSP4-60,SSP4,RCP6.0,Non-marker,4005150.733826092,4.005150733826092
WITCH-GLOBIOM SSP4-Baseline,SSP4,Baseline,Non-marker,4176671.4554754114,4.176671455475411
WITCH-GLOBIOM SSP5-34,SSP5,RCP3.4,Non-marker,1885585.3080236504,1.8855853080236504
WITCH-GLOBIOM SSP5-45,SSP5,RCP4.5,Non-marker,2797156.2086560884,2.7971562086560886
WITCH-GLOBIOM SSP5-60,SSP5,RCP6.0,Non-marker,4113933.887423217,4.113933887423217
WITCH-GLOBIOM SSP5-Baseline,SSP5,Baseline,Non-marker,7900403.697435944,7.900403697435944
