MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0519
GCAM 3.1,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0971341184524992,0.7198342501473063,-0.07924876125001123
GCAM 3.1,LIMITS-StrPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0971341184524992,0.7198342501473063,-0.07924876125001123
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0971341184524992,0.7198342501473063,-0.07924876125001123
GCAM 3.1,LIMITS-StrPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0971341184524992,0.7198342501473063,-0.07924876125001123
GEM-E3-ICCS,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0848933990967187,0.7952188933489445,-0.09148948060579176
GEM-E3-ICCS,AMPERE3-RefP-EUback,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0848933990967187,0.7952188933489445,-0.09148948060579176
GEM-E3-ICCS,AMPERE3-RefPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0848933990967187,0.7952188933489445,-0.09148948060579176
GRAPE ver2011,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.0854948156803108,0.763819747759812,-0.09088806402219962
IMACLIM v1.1,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.000280153696463,0.7671556999199246,-0.17610272600604748
IMACLIM v1.1,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.000280153696463,0.7671556999199246,-0.17610272600604748
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901455575908277,0.7504428300418119,-0.08623732211168278
IMAGE 2.4,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0918924767058396,0.7984311378172393,-0.08449040299667088
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0918924767058396,0.7984311378172393,-0.08449040299667088
IMAGE 2.4,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0918924767058396,0.7984311378172393,-0.08449040299667088
IMAGE 2.4,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901467367378004,0.7504432549714934,-0.08623614296471005
IMAGE 2.4,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901467367378004,0.7504432549714934,-0.08623614296471005
IMAGE 2.4,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.0901467367378004,0.7504432549714934,-0.08623614296471005
IMAGE 2.4,POEM_ScenarioA_CPH,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901467367378004,0.7504432549714934,-0.08623614296471005
IMAGE 2.4,POEM_ScenarioB_CPH_early,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901467367378004,0.7504432549714934,-0.08623614296471005
MERGE_EMF27,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE_EMF27,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE_EMF27,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE_EMF27,EMF27-550-LimSW,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE_EMF27,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE_EMF27,EMF27-550-NucOff,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1088507292684586,0.804132903636151,-0.06753215043405181
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0389789845490682,0.7815958086203483,-0.1374038951534422
MERGE-ETL_2011,AMPERE2-550-NoCCS-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0389789845490682,0.7815958086203483,-0.1374038951534422
MESSAGE V.4,AMPERE2-450-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901477274268245,0.7999444361427916,-0.0862351522756859
MESSAGE V.4,AMPERE2-450-LimSW-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901477274268245,0.7999444361427916,-0.0862351522756859
MESSAGE V.4,AMPERE2-450-NucOff-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901477274268245,0.7999444361427916,-0.0862351522756859
MESSAGE V.4,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901477274268245,0.7999444361427916,-0.0862351522756859
POLES AMPERE,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1302299323820364,0.8122794823245351,-0.046152947320474036
POLES AMPERE,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1302299323820364,0.8122794823245351,-0.046152947320474036
POLES AMPERE,AMPERE3-RefP-CEback,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1302299323820364,0.8122794823245351,-0.046152947320474036
POLES EMF27,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1302299323820364,0.8122794823245351,-0.046152947320474036
POLES-AME,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0950434538129745,0.7556934848307151,-0.08133942588953591
REMIND 1.2,450CO2os-DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0857879359604776,0.7648599610728724,-0.09059494374203281
REMIND 1.4,ROSE 550 DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 FS Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 HI Coal,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 HI Gas,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 LO Oil,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.4,ROSE 550 SL Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0951284622326203,0.7557640540183522,-0.08125441746989015
REMIND 1.5,AMPERE2-550-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901358959245637,0.7999899293707102,-0.0862469837779467
REMIND 1.5,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901358959245637,0.7999899293707102,-0.0862469837779467
REMIND 1.5,AMPERE2-550-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901358959245637,0.7999899293707102,-0.0862469837779467
REMIND 1.5,AMPERE3-CF550,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0901358959245637,0.7999899293707102,-0.0862469837779467
REMIND 1.5,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.1083421730748217,0.8012629882189791,-0.06804070662768869
TIAM-ECN,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0878176840187,0.7871158236008924,-0.0885651956838105
TIAM-ECN,LIMITS-RefPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0878176840187,0.7871158236008924,-0.0885651956838105
TIAM-ECN,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0878176840187,0.7871158236008924,-0.0885651956838105
TIAM-World_Mar2012,AME 3.7 W/m2 NTE,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0415784573363969,0.7313613448004238,-0.13480442236611356
TIMES-VTT-2011,AME Reference,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,0.9702334507022196,0.7233132595222437,-0.20614942900029087
