MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2020,2050,growth0520,growth0550,divergence0519,divergence0520,divergence0550steps,divergence0550aps,scenariotype,Database,absdivergence0519,absdivergence0520,absdivergence0550steps,absdivergence0550aps,tolerance01in2005to2019,tolerance01in2005to2020,tolerance01in2005to2050steps,tolerance01in2005to2050aps,tolerance03in2005to2019,tolerance03in2005to2020,tolerance03in2005to2050steps,tolerance03in2005to2050aps
AIM-Enduse 12.1,EMF27-550-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,35100.79669896065,24379.001689990673,1.2618010235277193,-0.3894033318998267,-0.273747337964521,0.18208249880492167,-0.7327944208074259,0.3608065885259075,Policy,AR5,0.273747337964521,0.18208249880492167,0.7327944208074259,0.3608065885259075,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,35101.78401027536,24379.10402313293,1.2619885401507602,-0.3893940039335517,-0.27355982134148005,0.18227001542796262,-0.7327850928411509,0.3608159164921825,Policy,AR5,0.27355982134148005,0.18227001542796262,0.7327850928411509,0.3608159164921825,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-LimSW,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010795,35108.72129976316,24460.15625366367,1.2633059668387385,-0.38201812509416616,-0.27224239465350175,0.1835874421159409,-0.7254092140017654,0.36819179533156804,Policy,AR5,0.27224239465350175,0.1835874421159409,0.7254092140017654,0.36819179533156804,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-LimTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.117370107968,35403.64593921859,25053.17714823783,1.319074218723273,-0.3287844953507325,-0.21647414276896737,0.2393556940004753,-0.6721755842583317,0.4214254250750017,Policy,AR5,0.21647414276896737,0.2393556940004753,0.6721755842583317,0.4214254250750017,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-LowEI,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,32821.83260844579,24396.849263801723,0.8142683173530093,-0.38777706496115943,-0.721280044139231,-0.2654502073697883,-0.7311681538687587,0.36243285546457477,Policy,AR5,0.721280044139231,0.2654502073697883,0.7311681538687587,0.36243285546457477,N,N,N,N,N,Y,N,N
AIM-Enduse 12.1,EMF27-550-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,35100.79669896065,24813.667778637733,1.2618010235277193,-0.350131229321708,-0.273747337964521,0.18208249880492167,-0.6935223182293071,0.4000786911040262,Policy,AR5,0.273747337964521,0.18208249880492167,0.6935223182293071,0.4000786911040262,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-NucOff,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010798,35403.55075697737,24382.223361032648,1.3190562954526304,-0.38910968591430617,-0.2164920660396099,0.23933777072983276,-0.7325007748219053,0.36110023451142803,Policy,AR5,0.2164920660396099,0.23933777072983276,0.7325007748219053,0.36110023451142803,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-Base-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.117370107968,35211.981232459424,53911.17168833049,1.2828848396686492,1.3741867749375085,-0.2526635218235911,0.20316631494585158,1.0307956860299092,2.1243966953632425,Baseline,AR5,0.2526635218235911,0.20316631494585158,1.0307956860299092,2.1243966953632425,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-Base-EERE,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.117370107968,33386.26711589089,41764.670778728425,0.9279398438362799,0.8068824684629265,-0.6076085176559604,-0.1517786808865177,0.4634913795553274,1.5570923888886608,Baseline,AR5,0.6076085176559604,0.1517786808865177,0.4634913795553274,1.5570923888886608,N,N,N,N,N,Y,N,N
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.117370107968,35182.77046230047,53636.65764055559,1.2773520840521968,1.3628423796873435,-0.2581962774400435,0.1976335593293992,1.0194512907797444,2.1130523001130777,Baseline,AR5,0.2581962774400435,0.1976335593293992,1.0194512907797444,2.1130523001130777,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-Base-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.117370107968,35180.597995086544,53642.93396938284,1.2769404177240655,1.3631023992716922,-0.25860794376817475,0.1972218930012679,1.0197113103640931,2.1133123196974264,Baseline,AR5,0.25860794376817475,0.1972218930012679,1.0197113103640931,2.1133123196974264,N,N,N,N,Y,Y,N,N
