MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0550aps
GCAM 3.1,LIMITS-RefPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.5103524576698011,-1.2323452777796777,0.909682999254328
GCAM 3.1,LIMITS-RefPol-450-EE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.5103524576698011,-1.2323452777796777,0.909682999254328
GCAM 3.1,LIMITS-RefPol-450-PC,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.5103524576698011,-1.2323452777796777,0.909682999254328
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.6111746255707058,-1.2296160673188439,0.9124122097151619
GRAPE_ver1998,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.3393248551662928,-1.6600128051464835,0.48201547188752225
IMACLIM v1.1,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,NA,NA,NA
IMACLIM v1.1,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,NA,NA,NA
IMACLIM v1.1,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,NA,NA,NA
IMACLIM v1.1,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,NA,NA,NA
IMAGE 2.4,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.9039855062722981,-2.5972349683519007,-0.45520669131789493
IMAGE 2.4,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.9932073277737792,-2.63892222397434,-0.4968939469403342
IMAGE 2.4,EMF27-550-NucOff,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.5130330224107527,-2.0917274566812907,0.0503008203527151
IMAGE 2.4,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.4396383287145773,-2.124406726980802,0.017621550053203983
MARIA23_org,AME 3.7 W/m2 NTE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.9273377013904578,-1.4345468149316885,0.7074814621023173
MERGE-ETL_2011,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.3138984247269054,-1.9421725184874856,0.19985575854652016
Phoenix 2012.4,EMF27-450-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-3.762085603110806,-3.277826068152828,-1.1357977911188222
POLES-AME,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.871214507921947,-1.8769109625773557,0.2651173144566501
REMIND 1.2,450CO2-IC+CHN+IND,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.5286953777911567,-1.7660378112301325,0.3759904658038733
REMIND 1.2,450CO2os-DEF,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.6561862737767954,-1.7534582721742509,0.3885700048597549
REMIND 1.5,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.6139303928452382,-1.9990043839853124,0.14302389304869334
REMIND 1.5,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.3798819407710636,-2.000611313911116,0.14141696312288987
TIAM-ECN,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.1484393641495136,-1.677337063198841,0.4646912138351649
TIAM-ECN,LIMITS-RefPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.1021274154149727,-1.674723571244046,0.46730470578995975
TIAM-ECN,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.1124940626832704,-1.683662196914221,0.45836608011978486
WorldScan2,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-2.712510199439079,-1.6495811540403573,0.49244712299364846
WorldScan2,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-2.7374486839490624,-1.6137331520092384,0.5282951250247674
AIM-Enduse[Backcast] 1.0,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-1.0174087526268019,-2.0728371925683415,-0.4493086654246734
DNE21 V.12,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.2172432385596086,-1.796366692554445,-0.1728381654107769
DNE21 V.12,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.05517324445616967,-1.3836584424854457,0.23987008465822246
DNE21 V.12,AMPERE2-450-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.1982096070589221,-1.8634286249659482,-0.23990009782228006
DNE21 V.12,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.24927893616546593,-1.7584543800647623,-0.13492585292109416
DNE21 V.12,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.14759870498055006,-1.7468224188447241,-0.12329389170105598
EC-IAM 2012,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.07593902718118295,-0.7975669297992442,0.825961597344424
GCAM 3.0,EMF27-450-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.16294472620292777,-2.013985591148041,-0.39045706400437297
GCAM 3.1,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.14724969729433246,-1.9537039675231602,-0.3301754403794921
GCAM 3.1,LIMITS-RefPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.030607300698418216,-1.9933368417420971,-0.369808314598429
GCAM 3.1,LIMITS-RefPol-450-EE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.030607300698418216,-1.9933368417420971,-0.369808314598429
GCAM 3.1,LIMITS-RefPol-450-PC,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.030607300698418216,-1.9933368417420971,-0.369808314598429
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.17482408154104823,-1.9898951838242713,-0.3663666566806032
GRAPE_ver1998,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.7208132099545909,-1.706780400378987,-0.08325187323531891
IMACLIM v1.1,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.3670630326253329,-1.557264771479707,0.06626375566396114
IMACLIM v1.1,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.2049282082271316,-0.3316571707772336,1.2918713563664346
IMACLIM v1.1,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.3712545867820616,-1.5738361011377795,0.049692426005888635
IMACLIM v1.1,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.32872789046448264,-0.7600098360910282,0.8635186910526399
IMAGE 2.4,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.029993763339467794,-1.2781628397633662,0.34536568738030193
IMAGE 2.4,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,-0.001466881061832792,-1.2404619263680496,0.3830666007756185
IMAGE 2.4,EMF27-550-NucOff,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.10702879440855173,-1.71271256737684,-0.08918404023317184
IMAGE 2.4,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,carbonintensity,0.014031634090905243,-1.6150515239533072,0.008477003190360932
