Entity,Code,Year,"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)"
Start in 2003,,2095,275835000
Start in 2003,,2096,257938999.99999997
Start in 2003,,2097,241181000
Start in 2003,,2098,225491000
Start in 2003,,2099,210802000
Start in 2003,,2100,197053000
Start in 2004,,2004,33083227000
Start in 2004,,2005,33889832000
Start in 2004,,2006,34347123000.000004
Start in 2004,,2007,34506527000
Start in 2004,,2008,34413418000
Start in 2004,,2009,34107767000.000004
Start in 2004,,2010,33624716999.999996
Start in 2004,,2011,32995103999.999996
Start in 2004,,2012,32245922999.999996
Start in 2004,,2013,31400754000
Start in 2004,,2014,30480133000
Start in 2004,,2015,29501894000
Start in 2004,,2016,28481472000
Start in 2004,,2017,27432172000
Start in 2004,,2018,26365420000
Start in 2004,,2019,25290974000
Start in 2004,,2020,24217121000
Start in 2004,,2021,23150854000
Start in 2004,,2022,22098027000
Start in 2004,,2023,21063490000
Start in 2004,,2024,20051219000
Start in 2004,,2025,19064422000
Start in 2004,,2026,18105640000
Start in 2004,,2027,17176832000.000002
Start in 2004,,2028,16279454999.999998
Start in 2004,,2029,15414530000
Start in 2004,,2030,14582707000
Start in 2004,,2031,13784315000
Start in 2004,,2032,13019410000
Start in 2004,,2033,12287821000
Start in 2004,,2034,11589182000
Start in 2004,,2035,10922966000
Start in 2004,,2036,10288517000
Start in 2004,,2037,9685068000
Start in 2004,,2038,9111771000
Start in 2004,,2039,8567707000
Start in 2004,,2040,8051911000.000001
Start in 2004,,2041,7563380000
Start in 2004,,2042,7101087000
Start in 2004,,2043,6663994000
Start in 2004,,2044,6251057000
Start in 2004,,2045,5861235000
Start in 2004,,2046,5493498000
Start in 2004,,2047,5146830000
Start in 2004,,2048,4820234000
Start in 2004,,2049,4512737000
Start in 2004,,2050,4223391999.9999995
Start in 2004,,2051,3951277000
Start in 2004,,2052,3695503000
Start in 2004,,2053,3455211000
Start in 2004,,2054,3229573000
Start in 2004,,2055,3017794000
Start in 2004,,2056,2819111000
Start in 2004,,2057,2632795000
Start in 2004,,2058,2458146000
Start in 2004,,2059,2294498000
Start in 2004,,2060,2141217999.9999998
Start in 2004,,2061,1997699000
Start in 2004,,2062,1863369000
Start in 2004,,2063,1737681000
Start in 2004,,2064,1620117000
Start in 2004,,2065,1510186000
Start in 2004,,2066,1407426000
Start in 2004,,2067,1311395000
Start in 2004,,2068,1221678000
Start in 2004,,2069,1137885000
Start in 2004,,2070,1059642999.9999999
Start in 2004,,2071,986605000
Start in 2004,,2072,918440000
Start in 2004,,2073,854840000
Start in 2004,,2074,795512000
Start in 2004,,2075,740182000
Start in 2004,,2076,688592000
Start in 2004,,2077,640499000
Start in 2004,,2078,595676000
Start in 2004,,2079,553909000
Start in 2004,,2080,514997000.00000006
Start in 2004,,2081,478752000
Start in 2004,,2082,444997000
Start in 2004,,2083,413567000
Start in 2004,,2084,384307000
Start in 2004,,2085,357071000
Start in 2004,,2086,331725000
Start in 2004,,2087,308140000
Start in 2004,,2088,286198000
Start in 2004,,2089,265788000.00000003
Start in 2004,,2090,246805000
Start in 2004,,2091,229152000
Start in 2004,,2092,212739000
Start in 2004,,2093,197480000
Start in 2004,,2094,183296000
Start in 2004,,2095,170114000
Start in 2004,,2096,157864000
Start in 2004,,2097,146481000
Start in 2004,,2098,135906000
Start in 2004,,2099,126083000
Start in 2004,,2100,116959000
Start in 2005,,2005,33702877000
Start in 2005,,2006,34531861000
Start in 2005,,2007,34973755000
Start in 2005,,2008,35088601000
Start in 2005,,2009,34929015000
Start in 2005,,2010,34541009000
Start in 2005,,2011,33964742000
Start in 2005,,2012,33235180000
Start in 2005,,2013,32382694000
Start in 2005,,2014,31433584000
Start in 2005,,2015,30410556000
Start in 2005,,2016,29333147000
