Entity,Code,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Start in 2002,,2100,4101626999.9999995
Start in 2003,,2003,31948771000
Start in 2003,,2004,32601467999.999996
Start in 2003,,2005,33128607000.000004
Start in 2003,,2006,33540261000
Start in 2003,,2007,33845849000
Start in 2003,,2008,34054173000
Start in 2003,,2009,34173451999.999996
Start in 2003,,2010,34211357999.999996
Start in 2003,,2011,34175050000
Start in 2003,,2012,34071204000
Start in 2003,,2013,33906041000
Start in 2003,,2014,33685358000
Start in 2003,,2015,33414549000
Start in 2003,,2016,33098633000
Start in 2003,,2017,32742277000
Start in 2003,,2018,32349814000.000004
Start in 2003,,2019,31925268000
Start in 2003,,2020,31472374000
Start in 2003,,2021,30994588000
Start in 2003,,2022,30495116000
Start in 2003,,2023,29976919000
Start in 2003,,2024,29442736000
Start in 2003,,2025,28895096000
Start in 2003,,2026,28336328000
Start in 2003,,2027,27768581000
Start in 2003,,2028,27193827000
Start in 2003,,2029,26613881000
Start in 2003,,2030,26030405000
Start in 2003,,2031,25444921000
Start in 2003,,2032,24858821000
Start in 2003,,2033,24273372000
Start in 2003,,2034,23689729000
Start in 2003,,2035,23108940000
Start in 2003,,2036,22531955000
Start in 2003,,2037,21959628000
Start in 2003,,2038,21392732000
Start in 2003,,2039,20831957000
Start in 2003,,2040,20277919000
Start in 2003,,2041,19731168000
Start in 2003,,2042,19192186000
Start in 2003,,2043,18661400000
Start in 2003,,2044,18139179000
Start in 2003,,2045,17625842000
Start in 2003,,2046,17121664000
Start in 2003,,2047,16626873000
Start in 2003,,2048,16141658000
Start in 2003,,2049,15666173000
Start in 2003,,2050,15200538000
Start in 2003,,2051,14744840000
Start in 2003,,2052,14299139000
Start in 2003,,2053,13863468000
Start in 2003,,2054,13437839000
Start in 2003,,2055,13022239000
Start in 2003,,2056,12616637000
Start in 2003,,2057,12220983000
Start in 2003,,2058,11835213000
Start in 2003,,2059,11459245000
Start in 2003,,2060,11092987000
Start in 2003,,2061,10736333000
Start in 2003,,2062,10389167000
Start in 2003,,2063,10051366000
Start in 2003,,2064,9722794000
Start in 2003,,2065,9403313000
Start in 2003,,2066,9092774000
Start in 2003,,2067,8791026000
Start in 2003,,2068,8497911999.999999
Start in 2003,,2069,8213270000
Start in 2003,,2070,7936937000
Start in 2003,,2071,7668745000
Start in 2003,,2072,7408527000
Start in 2003,,2073,7156111000
Start in 2003,,2074,6911327000
Start in 2003,,2075,6674002000
Start in 2003,,2076,6443965000
Start in 2003,,2077,6221043000
Start in 2003,,2078,6005066000
Start in 2003,,2079,5795863000
Start in 2003,,2080,5593265000
Start in 2003,,2081,5397104000
Start in 2003,,2082,5207213000
Start in 2003,,2083,5023429000
Start in 2003,,2084,4845588000
Start in 2003,,2085,4673530000
Start in 2003,,2086,4507098000
Start in 2003,,2087,4346135000
Start in 2003,,2088,4190488000
Start in 2003,,2089,4040007000
Start in 2003,,2090,3894544000
Start in 2003,,2091,3753954000
Start in 2003,,2092,3618095000
Start in 2003,,2093,3486827000
Start in 2003,,2094,3360013000
Start in 2003,,2095,3237521000
Start in 2003,,2096,3119219000
Start in 2003,,2097,3004980000
Start in 2003,,2098,2894678000
Start in 2003,,2099,2788193000
Start in 2003,,2100,2685405000
Start in 2004,,2004,33083227000
Start in 2004,,2005,33991239999.999996
Start in 2004,,2006,34725781000
Start in 2004,,2007,35301926000
Start in 2004,,2008,35733678000
Start in 2004,,2009,36034031000
Start in 2004,,2010,36215047000
Start in 2004,,2011,36287905000
Start in 2004,,2012,36262969000
Start in 2004,,2013,36149832000
Start in 2004,,2014,35957378000
Start in 2004,,2015,35693818000
Start in 2004,,2016,35366744000
Start in 2004,,2017,34983164000
Start in 2004,,2018,34549546000
Start in 2004,,2019,34071852000
Start in 2004,,2020,33555571999.999996
Start in 2004,,2021,33005758000
Start in 2004,,2022,32427053000
Start in 2004,,2023,31823721000
Start in 2004,,2024,31199669000
Start in 2004,,2025,30558478000
Start in 2004,,2026,29903420000
Start in 2004,,2027,29237485000
Start in 2004,,2028,28563397000
Start in 2004,,2029,27883636000
Start in 2004,,2030,27200454000
Start in 2004,,2031,26515891000
Start in 2004,,2032,25831794000
Start in 2004,,2033,25149826000
Start in 2004,,2034,24471485000
Start in 2004,,2035,23798112000
Start in 2004,,2036,23130906000
Start in 2004,,2037,22470933000
Start in 2004,,2038,21819137000
Start in 2004,,2039,21176351000
Start in 2004,,2040,20543302000
Start in 2004,,2041,19920623000
Start in 2004,,2042,19308860000
Start in 2004,,2043,18708478000
Start in 2004,,2044,18119867000
Start in 2004,,2045,17543351000
Start in 2004,,2046,16979192000.000002
Start in 2004,,2047,16427595000
Start in 2004,,2048,15888715000
Start in 2004,,2049,15362657000
Start in 2004,,2050,14849488000
Start in 2004,,2051,14349233000
Start in 2004,,2052,13861883000
Start in 2004,,2053,13387398000
Start in 2004,,2054,12925711000
Start in 2004,,2055,12476727000
Start in 2004,,2056,12040329000
Start in 2004,,2057,11616383000
Start in 2004,,2058,11204733000
Start in 2004,,2059,10805210000
Start in 2004,,2060,10417629000
Start in 2004,,2061,10041796000
Start in 2004,,2062,9677504000
Start in 2004,,2063,9324539000
Start in 2004,,2064,8982679000
Start in 2004,,2065,8651695000
Start in 2004,,2066,8331355000
Start in 2004,,2067,8021421000
Start in 2004,,2068,7721654000
Start in 2004,,2069,7431811000
Start in 2004,,2070,7151650000
Start in 2004,,2071,6880927000
Start in 2004,,2072,6619399000
Start in 2004,,2073,6366822000
Start in 2004,,2074,6122955000
Start in 2004,,2075,5887560000
Start in 2004,,2076,5660397000
Start in 2004,,2077,5441233000
Start in 2004,,2078,5229835000
Start in 2004,,2079,5025975000
Start in 2004,,2080,4829427000
Start in 2004,,2081,4639970000
Start in 2004,,2082,4457385000
Start in 2004,,2083,4281460000
Start in 2004,,2084,4111985000
Start in 2004,,2085,3948754000
Start in 2004,,2086,3791567000
Start in 2004,,2087,3640228000
Start in 2004,,2088,3494544000
Start in 2004,,2089,3354328000
Start in 2004,,2090,3219398000
Start in 2004,,2091,3089576000
Start in 2004,,2092,2964688000
Start in 2004,,2093,2844565000
Start in 2004,,2094,2729043000
Start in 2004,,2095,2617963000
Start in 2004,,2096,2511168000
Start in 2004,,2097,2408508000
Start in 2004,,2098,2309837000
Start in 2004,,2099,2215012000
Start in 2004,,2100,2123895000
Start in 2005,,2005,33702877000
Start in 2005,,2006,34647346000
Start in 2005,,2007,35403562000
Start in 2005,,2008,35988491000
Start in 2005,,2009,36417848000
Start in 2005,,2010,36706180000
Start in 2005,,2011,36866944000
Start in 2005,,2012,36912580000
Start in 2005,,2013,36854585000
Start in 2005,,2014,36703571000
Start in 2005,,2015,36469329000
Start in 2005,,2016,36160886000
Start in 2005,,2017,35786556000
Start in 2005,,2018,35353994000
Start in 2005,,2019,34870234000
