"Year","High income","Low income","Lower-middle income","Upper-middle income"
2080,49.5872948522804,14.8583605171062,33.4226480772286,41.132199243156
2081,49.6573130884104,15.3417328242028,33.8938138402274,41.4482410381582
2082,49.7250208521142,15.8325167026472,34.3579125206363,41.7566281792101
2083,49.7904897848245,16.3303275261589,34.8147695502517,42.0574378389882
2084,49.8537896193559,16.8347612014705,35.264228468009,42.3507537557036
2085,49.9149882088135,17.3453956451714,35.7061505388812,42.6366656822427
2086,49.9741515567838,17.8617923606832,36.1404143218964,42.9152688532864
2087,50.0313438486362,18.3834981022204,36.5669151930854,43.1866634712949
2088,50.0866274837738,18.9100466118921,36.985564829039,43.4509542120618
2089,50.1400631086819,19.4409604155909,37.3962906565887,43.7082497503694
2090,50.1917096506386,19.9757526630042,37.7990352739158,43.9586623061153
2091,50.2416243519561,20.5139289969653,38.1937558481682,44.2023072111405
2092,50.2898628046362,21.0549894374333,38.5804234944057,44.4393024968534
2093,50.3364789853303,21.5984302656469,38.9590226404254,44.6697685026294
2094,50.3815252905038,22.1437458944172,39.3295503817316,44.8938275048564
2095,50.4250525717125,22.6904307111108,39.6920158306244,45.1116033664047
2096,50.4671101709073,23.2379808805904,40.0464394630776,45.3232212062157
2097,50.5077459556902,23.7858960962284,40.3928524667831,45.5288070886315
2098,50.5470063544508,24.3336812680575,40.7312960934337,45.7284877320238
2099,50.5849363913212,24.8808481381545,41.0618210180307,45.9223902362299
2100,50.6215797208904,25.4269168144542,41.3844867077081,46.1106418282556
