"Group","Year","pcrGDP","src_pcrGDP","sd_src_pcrGDP","theta"
"B",1973,9.91031431432157,5.97835989331417,2.72468868274959,1.64370764173394
"B",1974,10.3332002730235,4.17859742069138,2.68646845776757,1.70613527401428
"B",1975,10.1631369950318,-1.65948850824593,2.7029716726686,1.68057665888997
"B",1976,10.5840301741968,4.05791238867175,2.66322634654649,1.73942190435926
"B",1977,10.949193750273,3.39195457054142,2.62480625807459,1.81105464425121
"B",1978,11.1834606088157,2.11701320632924,2.59707238820572,1.87191092134127
"B",1979,11.6356444467675,3.96372283523805,2.54608872148124,1.98068480126822
"B",1980,11.8899504497081,2.16203594466227,2.52096080064536,2.029856615865
"B",1981,11.8963344204012,0.0536777464930971,2.52088842293865,2.02883127598743
"B",1982,11.8370221538655,-0.499823021912515,2.52446013252394,2.02697140013946
"B",1983,11.8902376758677,0.448560951511334,2.52095065418322,2.02984048786475
"B",1984,12.0980736141717,1.73285344249701,2.51915630307459,1.99344412006326
"B",1985,12.159525206389,0.506659576069568,2.51897616738646,1.98235411605421
"B",1986,12.5123783351993,2.86055908849647,2.53084477032803,1.87142636531399
"B",1987,13.0146997326054,3.93610461752618,2.54042730300717,1.76721174507835
"B",1988,13.5229452989134,3.83084271335199,2.53877608584534,1.71790110895451
"B",1989,13.8899879993415,2.6780398345331,2.53505599267975,1.69477158693445
"B",1990,14.3777269359972,3.45119758005357,2.52935904792312,1.67458866022743
"B",1991,15.0667132003937,4.68076180988883,2.5156313632928,1.67513495586542
"B",1992,15.5619443347714,3.23405815042475,2.50583239111407,1.67996629269349
"B",1993,15.759474506361,1.26132721775569,2.50126320058687,1.68580639513609
"B",1994,16.3586606222935,3.73157184013722,2.49111207175169,1.69348772574302
"B",1995,16.9641086708814,3.63423987920113,2.48070050849658,1.70835969336887
"B",1996,17.5841320154917,3.58970477762841,2.47299837334197,1.72388156916317
"B",1997,18.2451842112157,3.69042610303798,2.4605690576139,1.76265144067906
"B",1998,18.4039706215616,0.866526961584846,2.45764243660507,1.77296219420226
"B",1999,18.9322033643731,2.82979178341103,2.45198023759086,1.79056049181805
"B",2000,19.8254933395551,4.61042981115201,2.44753861803874,1.80071791357695
"B",2001,20.1624265036733,1.68521463152529,2.44431275782881,1.81225210943776
"B",2002,20.3662798858158,1.00597882070455,2.44382438008343,1.81603661497304
"B",2003,20.9701458586064,2.92192140214751,2.44149709228018,1.83512500489087
"B",2004,21.7908615892667,3.83908882820139,2.44247646414966,1.85399957828068
"B",2005,22.4901455592426,3.15865493703473,2.4512801732979,1.84426291503475
"B",2006,23.3638706716905,3.81136026694877,2.45309385014673,1.8815273507734
"B",2007,24.1989413881852,3.51180471200014,2.44740890688677,1.94675097550212
"B",2008,24.6010001448321,1.64782104898951,2.44441018147636,1.97493875036762
"B",2009,23.8736166427559,-3.00131553824214,2.45184248206104,1.91997513109943
"B",2010,24.7844230357928,3.74414094124744,2.44339242509581,1.98880908789245
"B",2011,25.5462312827315,3.02744497227847,2.43238834606822,2.03951348799105
"B",2012,25.4626217496536,-0.327823908932512,2.43585540481543,2.0360057714333
"B",2013,25.5190884499514,0.221517572348562,2.43338878567981,2.03902381623387
"B",2014,25.7920907296498,1.06411452690418,2.42470388011348,2.0394907310068
"B",2015,26.3159212499683,2.01062426801117,2.41195339324132,2.0313817184814
"B",2016,26.2750748808617,-0.155336009298068,2.41290314037928,2.0321018836189
"B",2017,26.6712176958128,1.49642283883478,2.40643902262242,2.0181239183626
"B",2018,27.0103956415425,1.26368206251568,2.40652899292861,1.99038347637562
"B",2019,27.2065293427235,0.72351781970128,2.40947941069725,1.96549470028433
"B",2020,25.3129734430494,-7.21399452447669,2.44287385081515,2.02447931725412
"C",1961,1.37019263075653,-6.07595319468986,3.11358344329555,2.02890534462533
"C",1962,1.42816927890127,4.1442063192207,3.10501765250664,1.9448983601238
"C",1963,1.5240447372149,6.49744124217732,3.09248770187129,1.82948341817945
"C",1964,1.63362775385941,6.94353457075031,3.07896146808481,1.7328787980782
"C",1965,1.72181963438432,5.25785009136291,3.06851206225819,1.66885582066211
"C",1966,1.7698359231325,2.75051849111219,3.06328722795662,1.63725704081808
"C",1967,1.7854413700041,0.877880728137304,3.06170571729463,1.6272182971088
"C",1968,1.805772052021,1.13225792109989,3.05976416998131,1.61391196206211
"C",1969,1.91229448147673,5.73155902923658,3.05111088065588,1.54529782592579
"C",1970,2.05155672631115,7.02950633780868,3.04245480461293,1.45131055405807
"C",1971,2.1420515243897,4.31651424166154,3.0368393134127,1.40113299176548
"C",1972,2.21483164696582,3.34123686508174,3.03250429860462,1.36649613219634
"C",1973,2.35218588052028,6.01686630230606,3.02536123516351,1.30928533360261
"C",1974,2.42099060276156,2.88317386488941,3.02180616148699,1.28507842171121
