"Year","High income","Low income","Lower-middle income","Upper-middle income"
2080,86.829137688624,14.1470946971385,32.3077485534044,47.2212283676837
2081,87.791522977159,14.5628658155573,32.9463575084294,47.9741209922991
2082,88.7580297859475,14.9856071830391,33.5908585845232,48.7322169924734
2083,89.7286394658592,15.4152948778099,34.2412193168396,49.4954887354228
2084,90.7033335206107,15.8519039748652,34.8974073904925,50.2639087974111
2085,91.6820936052991,16.2954086227688,35.5593906484137,51.0374499641825
2086,92.6649015249412,16.7457821164571,36.2271370985753,51.8160852312318
2087,93.6517392330201,17.2029969661927,36.9006149206125,52.5997878039229
2088,94.6425888300379,17.6670249628154,37.5797924718858,53.3885310974671
2089,95.6374325620771,18.1378372394406,38.2646382930135,54.1822887367692
2090,96.6362528193694,18.6154043297497,38.9551211129084,54.98103455615
2091,97.6390321348742,19.0996962230226,39.6512098533483,55.7847425989558
2092,98.6457531828644,19.590682416055,40.3528736331087,56.5933871170602
2093,99.6563987775231,20.0883319621025,41.0600817716844,57.4069425702673
2094,100.670951871549,20.5926135169915,41.7728037926261,58.2253836256231
2095,101.689395554772,21.103495382531,42.4910094265149,59.048685156641
2096,102.71171305278,21.6209455473562,43.2146686135984,59.8768222424485
2097,103.737887725554,22.1449317253326,43.943751506108,60.7097701668609
2098,104.767903066114,22.6754213916414,44.6782284702798,61.5475044173865
2099,105.801742699182,23.2123818166655,45.4180700880954,62.3900006841701
2100,106.839390379844,23.7557800977896,46.1632471587621,63.2372348588783
