"Grouping","Model","IC_Year","Year","High income","Low income","Lower-middle income","Upper-middle income"
"WB","Kuznets",2004,2025,41.848659304684,1.8851702623839,7.66864797351539,15.278694598359
"WB","Kuznets",2005,2005,32.6128487172689,0.949133034453121,3.51904338986771,7.61625423111615
"WB","Kuznets",2005,2006,33.1681944482421,0.984097055410088,3.66267992235734,7.92424824156032
"WB","Kuznets",2005,2007,33.7181034296923,1.02009598065719,3.81269853051347,8.24295707634287
"WB","Kuznets",2005,2008,34.2622432958689,1.05717238920204,3.96934632404975,8.57250757514815
"WB","Kuznets",2005,2009,34.8003009841555,1.09543648043704,4.13287356019823,8.91300700856267
"WB","Kuznets",2005,2010,35.3319829390857,1.13498797889812,4.3035329737524,9.2645417449179
"WB","Kuznets",2005,2011,35.8570152220783,1.17592122636051,4.48157903535532,9.62717597961692
"WB","Kuznets",2005,2012,36.3751435317032,1.21844187959154,4.66726713717243,10.0009505405395
"WB","Kuznets",2005,2013,36.886133139647,1.2626612537437,4.8608527057654,10.3858817829259
"WB","Kuznets",2005,2014,37.3897687478278,1.30866847735985,5.06259024273394,10.7819605867476
"WB","Kuznets",2005,2015,37.8858542723114,1.35655701443217,5.27273229451383,11.1891514689851
"WB","Kuznets",2005,2016,38.3742125598225,1.40642484889702,5.49152835360385,11.6073918224438
"WB","Kuznets",2005,2017,38.8546850427091,1.45837466987712,5.71922369443427,12.0365912917646
"WB","Kuznets",2005,2018,39.3271313382356,1.5125140567571,5.95605814807491,12.4766312961263
"WB","Kuznets",2005,2019,39.791428798032,1.56895566304017,6.2022648209984,12.9273647068159
"WB","Kuznets",2005,2020,40.2474720134374,1.62781739778595,6.45806876415067,13.3886156863704
"WB","Kuznets",2005,2021,40.695172282342,1.68922260327329,6.72368559961913,13.8601796943968
"WB","Kuznets",2005,2022,41.1344570429582,1.75330022736643,6.99932011321248,14.3418236634799
"WB","Kuznets",2005,2023,41.5652692797483,1.82018498889067,7.28516482225465,14.8332863468136
"WB","Kuznets",2005,2024,41.9875669065085,1.89001753414332,7.58139852883039,15.3342788373722
"WB","Kuznets",2005,2025,42.4013221313542,1.96294458248109,7.88818486958,15.8444852566065
"WB","Kuznets",2006,2006,33.5109618207177,0.993178967054624,3.73262964666577,8.22740069444889
"WB","Kuznets",2006,2007,34.078800922182,1.03061420046487,3.88959324763969,8.56446861761287
"WB","Kuznets",2006,2008,34.6406646189532,1.06920573564832,4.05360605790118,8.91299895735386
"WB","Kuznets",2006,2009,35.1962173222154,1.10908681875168,4.22493593024678,9.27308852782412
"WB","Kuznets",2006,2010,35.7451444405589,1.15036930568594,4.40385305132385,9.64481037228406
"WB","Kuznets",2006,2011,36.2871525121403,1.19319899794554,4.59062908937122,10.028212435334
"WB","Kuznets",2006,2012,36.8219692369597,1.23776036538383,4.78553626076529,10.4233163330652
"WB","Kuznets",2006,2013,37.3493434150431,1.28414865795475,4.98884631559004,10.8301162359465
"WB","Kuznets",2006,2014,37.8690447966446,1.33246146775627,5.20082944335513,11.2485778786076
