VariableCode,RegionCode,YearCode,AggValue
ctfp,ARM,2003,0.39685592055320700
ctfp,ARM,2004,0.42610430717468300
ctfp,ARM,2005,0.47268077731132500
ctfp,ARM,2006,0.53262478113174400
ctfp,ARM,2007,0.59604334831237800
ctfp,ARM,2008,0.63999760150909400
ctfp,ARM,2009,0.59695458412170400
ctfp,ARM,2010,0.63055664300918600
ctfp,ARM,2011,0.66870641708374000
ctfp,ARM,2012,0.74223542213439900
ctfp,ARM,2013,0.70897960662841800
ctfp,ARM,2014,0.61132615804672200
ctfp,ARM,2015,0.66226071119308500
ctfp,ARM,2016,0.67344611883163500
ctfp,ARM,2017,0.73553490638732900
ctfp,ARM,2018,0.78375232219696000
ctfp,ARM,2019,0.82075828313827500
ctfp,AUS,1954,0.76830607652664200
ctfp,AUS,1955,0.74734717607498200
ctfp,AUS,1956,0.73617577552795400
ctfp,AUS,1957,0.71711647510528600
ctfp,AUS,1958,0.76354509592056300
ctfp,AUS,1959,0.76246482133865400
ctfp,AUS,1960,0.71915924549102800
ctfp,AUS,1961,0.71999377012252800
ctfp,AUS,1962,0.73299038410186800
ctfp,AUS,1963,0.76143306493759200
ctfp,AUS,1964,0.75523060560226400
ctfp,AUS,1965,0.74353057146072400
ctfp,AUS,1966,0.76504671573638900
ctfp,AUS,1967,0.76105141639709500
ctfp,AUS,1968,0.78057187795639000
ctfp,AUS,1969,0.80926835536956800
ctfp,AUS,1970,0.81331151723861700
ctfp,AUS,1971,0.80993330478668200
ctfp,AUS,1972,0.80717337131500200
ctfp,AUS,1973,0.78245311975479100
ctfp,AUS,1974,0.73185169696807900
ctfp,AUS,1975,0.76503860950470000
ctfp,AUS,1976,0.78049242496490500
ctfp,AUS,1977,0.77354305982589700
ctfp,AUS,1978,0.79928427934646600
ctfp,AUS,1979,0.81658756732940700
ctfp,AUS,1980,0.84517192840576200
ctfp,AUS,1981,0.85654944181442300
ctfp,AUS,1982,0.84569418430328400
ctfp,AUS,1983,0.87154877185821500
ctfp,AUS,1984,0.83938443660736100
ctfp,AUS,1985,0.82794666290283200
ctfp,AUS,1986,0.79870921373367300
ctfp,AUS,1987,0.83178073167800900
ctfp,AUS,1988,0.83401912450790400
ctfp,AUS,1989,0.82640707492828400
ctfp,AUS,1990,0.80996060371398900
ctfp,AUS,1991,0.80790281295776400
ctfp,AUS,1992,0.82306241989135700
ctfp,AUS,1993,0.81488347053527800
ctfp,AUS,1994,0.80884921550750700
ctfp,AUS,1995,0.81546926498413100
ctfp,AUS,1996,0.82988762855529800
ctfp,AUS,1997,0.83856016397476200
ctfp,AUS,1998,0.83396625518798800
ctfp,AUS,1999,0.83677768707275400
ctfp,AUS,2000,0.83954262733459500
ctfp,AUS,2001,0.86595201492309600
ctfp,AUS,2002,0.86846053600311300
ctfp,AUS,2003,0.86401534080505400
ctfp,AUS,2004,0.85521006584167500
ctfp,AUS,2005,0.85991173982620200
ctfp,AUS,2006,0.84699612855911300
ctfp,AUS,2007,0.83716964721679700
ctfp,AUS,2008,0.85152447223663300
ctfp,AUS,2009,0.85555177927017200
ctfp,AUS,2010,0.88523960113525400
ctfp,AUS,2011,0.91172343492507900
ctfp,AUS,2012,0.85750615596771200
ctfp,AUS,2013,0.85646158456802400
ctfp,AUS,2014,0.81877905130386400
ctfp,AUS,2015,0.78141540288925200
ctfp,AUS,2016,0.82089334726333600
ctfp,AUS,2017,0.84810662269592300
ctfp,AUS,2018,0.85835540294647200
ctfp,AUS,2019,0.83790272474288900
ctfp,AUT,1954,0.65490663051605200
ctfp,AUT,1955,0.66471755504608200
ctfp,AUT,1956,0.69191318750381500
ctfp,AUT,1957,0.70198923349380500
ctfp,AUT,1958,0.72848320007324200
ctfp,AUT,1959,0.72580218315124500
ctfp,AUT,1960,0.74048191308975200
ctfp,AUT,1961,0.75814175605773900
ctfp,AUT,1962,0.76159703731536900
ctfp,AUT,1963,0.77553772926330600
ctfp,AUT,1964,0.78845912218093900
ctfp,AUT,1965,0.79310703277587900
ctfp,AUT,1966,0.80892884731292700
ctfp,AUT,1967,0.83073669672012300
ctfp,AUT,1968,0.84725153446197500
ctfp,AUT,1969,0.88060855865478500
ctfp,AUT,1970,0.92865604162216200
ctfp,AUT,1971,0.92758500576019300
ctfp,AUT,1972,0.93206596374511700
ctfp,AUT,1973,0.92549109458923300
ctfp,AUT,1974,0.92216712236404400
ctfp,AUT,1975,0.94194382429122900
ctfp,AUT,1976,0.93089252710342400
ctfp,AUT,1977,0.92500603199005100
ctfp,AUT,1978,0.91377198696136500
ctfp,AUT,1979,0.91550588607788100
ctfp,AUT,1980,0.90574914216995200
ctfp,AUT,1981,0.89186698198318500
ctfp,AUT,1982,0.89022624492645300
ctfp,AUT,1983,0.86351019144058200
ctfp,AUT,1984,0.80266618728637700
ctfp,AUT,1985,0.78602874279022200
ctfp,AUT,1986,0.78387308120727500
