MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
IMAGE,SSP2-45,World,fossilco2,0.3%/y tolerance 2005-2040,-0.14267738677218333,0.29338578421121914,0.1065015680754752
IMAGE,SSP2-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.40488640646473795,0.2537129099990195,0.3185015513414703
IMAGE,SSP2-45,World,pop,0.3%/y tolerance 2005-2040,-0.12152727524881324,-0.12243932388623258,-0.12204844589876714
IMAGE,SSP3-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.11596006342572052,0.2507170231144228,0.09356970031150422
IMAGE,SSP3-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.11172159168884122,0.26147607790110533,0.10153421950541394
IMAGE,SSP3-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.008087583102017515,-0.11150188024948111,-0.060249253098838836
IMAGE,SSP3-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.29207790761491936,-0.7095988455146455,-0.28030880845911765
IMAGE,SSP3-45,World,pop,0.3%/y tolerance 2005-2040,-0.056308669398340117,0.08590386424963625,0.024955635543360666
IMAGE,SSP4-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.15961471666460447,0.22204595091961699,0.05847709338352207
IMAGE,SSP4-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.5953274002593438,0.37024668515055403,-0.043570780025116496
IMAGE,SSP4-45,World,fossilco2,0.3%/y tolerance 2005-2040,-0.3376326902901077,0.6950752055491909,0.2524861073323486
IMAGE,SSP4-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5486645148393876,0.23982765330528644,0.37218630824847265
IMAGE,SSP4-45,World,pop,0.3%/y tolerance 2005-2040,-0.13135508820554698,-0.13704508382626657,-0.1346065142745296
MESSAGE-GLOBIOM,SSP1-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.196386331095188,0.22307109978984535,0.043303629410545344
MESSAGE-GLOBIOM,SSP1-34,World,energyintensity,0.3%/y tolerance 2005-2040,-0.919140859456506,-0.8537608183886121,-0.881780835989138
MESSAGE-GLOBIOM,SSP1-34,World,fossilco2,0.3%/y tolerance 2005-2040,-0.7420393624280693,0.2505351297877228,-0.1748539383047595
MESSAGE-GLOBIOM,SSP1-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.6030988262951924,1.213420219374039,0.9518539080545333
MESSAGE-GLOBIOM,SSP1-34,World,pop,0.3%/y tolerance 2005-2040,-0.22961099817156772,-0.3321953709875497,-0.2882306397807003
MESSAGE-GLOBIOM,SSP1-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.1892963914922391,0.4120420823602299,0.1543255935663146
MESSAGE-GLOBIOM,SSP1-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.9150029242026598,-0.6617910509254411,-0.7703104251871062
MESSAGE-GLOBIOM,SSP1-45,World,fossilco2,0.3%/y tolerance 2005-2040,-0.7283468319369303,0.635760494398953,0.051143068826431604
MESSAGE-GLOBIOM,SSP1-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.6055634819295364,1.2177048339517138,0.9553585402279234
MESSAGE-GLOBIOM,SSP1-45,World,pop,0.3%/y tolerance 2005-2040,-0.22961099817156772,-0.3321953709875497,-0.2882306397807003
MESSAGE-GLOBIOM,SSP1-Baseline,World,co2intensity,0.3%/y tolerance 2005-2040,-0.15833092361948387,0.526994476483179,0.2332835907248949
MESSAGE-GLOBIOM,SSP1-Baseline,World,energyintensity,0.3%/y tolerance 2005-2040,-0.8912703843321081,-0.5569550239682298,-0.7002330355527491
MESSAGE-GLOBIOM,SSP1-Baseline,World,fossilco2,0.3%/y tolerance 2005-2040,-0.6729851660007007,0.8572917762366943,0.20145880099209645
MESSAGE-GLOBIOM,SSP1-Baseline,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.606227140122459,1.2194476947092947,0.9566388856006507
MESSAGE-GLOBIOM,SSP1-Baseline,World,pop,0.3%/y tolerance 2005-2040,-0.22961099817156772,-0.3321953709875497,-0.2882306397807003
MESSAGE-GLOBIOM,SSP2-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.3183903564185573,0.15310996261029935,-0.04896160268778206
MESSAGE-GLOBIOM,SSP2-34,World,energyintensity,0.3%/y tolerance 2005-2040,-0.5754594811017246,-0.08274356351826018,-0.2939075281968878
MESSAGE-GLOBIOM,SSP2-34,World,fossilco2,0.3%/y tolerance 2005-2040,-0.5372579100960126,0.14041087696696036,-0.15001860320288518
MESSAGE-GLOBIOM,SSP2-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5026376300932374,0.19276349278553007,0.3255666944888332
MESSAGE-GLOBIOM,SSP2-34,World,pop,0.3%/y tolerance 2005-2040,-0.1460457026689681,-0.12271901491060888,-0.13271616680704854
MESSAGE-GLOBIOM,SSP2-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.29335521395499176,0.4295294831254314,0.11972175580525002
MESSAGE-GLOBIOM,SSP2-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.5594585529536438,0.13322062366757959,-0.16364188059865897
MESSAGE-GLOBIOM,SSP2-45,World,fossilco2,0.3%/y tolerance 2005-2040,-0.4929209108578103,0.6396849721425306,0.15428245085667022
MESSAGE-GLOBIOM,SSP2-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5059385587197933,0.19965388026012854,0.3309187424571277
MESSAGE-GLOBIOM,SSP2-45,World,pop,0.3%/y tolerance 2005-2040,-0.1460457026689681,-0.12271901491060888,-0.13271616680704854
MESSAGE-GLOBIOM,SSP3-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.17599740607116088,-0.6111784071610605,-0.4246722638368178
MESSAGE-GLOBIOM,SSP3-34,World,energyintensity,0.3%/y tolerance 2005-2040,0.36945795137977,0.5002375780647031,0.4441891666283032
MESSAGE-GLOBIOM,SSP3-34,World,fossilco2,0.3%/y tolerance 2005-2040,0.47862100543697195,-0.8448413279864992,-0.2776431850907259
MESSAGE-GLOBIOM,SSP3-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.36614773370420317,-0.8190217061034157,-0.3110919461858648
MESSAGE-GLOBIOM,SSP3-34,World,pop,0.3%/y tolerance 2005-2040,-0.08098727357584035,0.08512120721327388,0.013931858303653497
REMIND-MAGPIE,SSP1-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.2884516595587737,0.6575948374066419,0.25214633870717806
REMIND-MAGPIE,SSP1-34,World,energyintensity,0.3%/y tolerance 2005-2040,-0.9128706715415986,-1.0530316996430336,-0.9929626875995614
REMIND-MAGPIE,SSP1-34,World,fossilco2,0.3%/y tolerance 2005-2040,-0.860514757300619,0.5261338413003551,-0.06814412952863375
REMIND-MAGPIE,SSP1-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5488195936215824,1.2573748223252212,0.9537082957379474
REMIND-MAGPIE,SSP1-34,World,pop,0.3%/y tolerance 2005-2040,-0.20801201982182904,-0.3358041187884747,-0.281036076374198
REMIND-MAGPIE,SSP1-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.2884516595587737,0.9052693429000535,0.3936746275605561
REMIND-MAGPIE,SSP1-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.9128706715415986,-0.7736197830641841,-0.8332987352687903
REMIND-MAGPIE,SSP1-45,World,fossilco2,0.3%/y tolerance 2005-2040,-0.860514757300619,1.0668442500035462,0.24083324687318974
REMIND-MAGPIE,SSP1-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5488195936215824,1.2709988089561515,0.9614934309556218
REMIND-MAGPIE,SSP1-45,World,pop,0.3%/y tolerance 2005-2040,-0.20801201982182904,-0.3358041187884747,-0.281036076374198
REMIND-MAGPIE,SSP2-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.012131306506821815,0.024650978852379546,0.008887142269864676
REMIND-MAGPIE,SSP2-34,World,energyintensity,0.3%/y tolerance 2005-2040,-0.2642517623436691,-0.4089603682563466,-0.3469423942937705
REMIND-MAGPIE,SSP2-34,World,fossilco2,0.3%/y tolerance 2005-2040,0.06442450494926244,-0.3214215626103984,-0.15605896222768662
REMIND-MAGPIE,SSP2-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.46538087407604656,0.19014657106975108,0.30810412950102056
REMIND-MAGPIE,SSP2-34,World,pop,0.3%/y tolerance 2005-2040,-0.12457330027629321,-0.12725874427618244,-0.12610783970480133
REMIND-MAGPIE,SSP2-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.012131306506821815,0.40227595187510523,0.2246728411399936
REMIND-MAGPIE,SSP2-45,World,energyintensity,0.3%/y tolerance 2005-2040,-0.2642517623436691,-0.029896072359792747,-0.13033422521002547
REMIND-MAGPIE,SSP2-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.06442450494926244,0.4595069134895108,0.2901858812579758
REMIND-MAGPIE,SSP2-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.46538087407604656,0.21438577825038074,0.32195510503280894
REMIND-MAGPIE,SSP2-45,World,pop,0.3%/y tolerance 2005-2040,-0.12457330027629321,-0.12725874427618244,-0.12610783970480133
REMIND-MAGPIE,SSP5-26,World,co2intensity,0.3%/y tolerance 2005-2040,-0.15697816110426932,0.23308477636789232,0.0659149460226802
REMIND-MAGPIE,SSP5-26,World,energyintensity,0.3%/y tolerance 2005-2040,-0.1026413521542664,-1.5673544260643055,-0.9396202515314316
REMIND-MAGPIE,SSP5-26,World,fossilco2,0.3%/y tolerance 2005-2040,0.12714261637663715,0.2834748291130767,0.2164753093688883
REMIND-MAGPIE,SSP5-26,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.5868244963122979,1.9248796982950784,1.3514274688738865
REMIND-MAGPIE,SSP5-26,World,pop,0.3%/y tolerance 2005-2040,-0.20006236667712507,-0.30713521948558864,-0.2612468539962471
WITCH-GLOBIOM,SSP1-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.14318717821092908,0.08977333590875042,-0.010066884428255082
WITCH-GLOBIOM,SSP1-45,World,energyintensity,0.3%/y tolerance 2005-2040,0.061455795896601995,-0.7296819232263426,-0.3906229007450806
WITCH-GLOBIOM,SSP1-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.13726562314864732,0.17255326469925497,0.15742998974899453
WITCH-GLOBIOM,SSP1-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.4186116390603325,1.144712346014562,0.8335263287484636
WITCH-GLOBIOM,SSP1-45,World,pop,0.3%/y tolerance 2005-2040,-0.1996146335973581,-0.332250493997715,-0.27540655382613344
WITCH-GLOBIOM,SSP2-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.17207582928845322,0.23271269003107922,0.0592318960369939
WITCH-GLOBIOM,SSP2-45,World,energyintensity,0.3%/y tolerance 2005-2040,0.34996691559584003,0.012645303368978178,0.1572117086090618
WITCH-GLOBIOM,SSP2-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.38053908741993014,0.2253014746654374,0.29183188013164857
WITCH-GLOBIOM,SSP2-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.3186876426385863,0.1027391023543408,0.19528847676187458
WITCH-GLOBIOM,SSP2-45,World,pop,0.3%/y tolerance 2005-2040,-0.11603964152604296,-0.1227956210889608,-0.11990020127628173
WITCH-GLOBIOM,SSP3-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.0879426094963609,0.21211196041605146,0.0835171447393033
WITCH-GLOBIOM,SSP3-45,World,energyintensity,0.3%/y tolerance 2005-2040,0.844433940035054,0.4002624507176825,0.5906216604251274
WITCH-GLOBIOM,SSP3-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.9007330659370865,-0.15937215352162698,0.29495865481782163
WITCH-GLOBIOM,SSP3-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.1952259267423997,-0.8568176074462234,-0.40594180707967065
WITCH-GLOBIOM,SSP3-45,World,pop,0.3%/y tolerance 2005-2040,-0.050984191344006335,0.08507104279086242,0.026761656733061523
WITCH-GLOBIOM,SSP4-34,World,co2intensity,0.3%/y tolerance 2005-2040,-0.12547560745168163,-0.34093712650803754,-0.248596475483885
WITCH-GLOBIOM,SSP4-34,World,energyintensity,0.3%/y tolerance 2005-2040,0.5080310802462737,-0.488005630678395,-0.06113275456782269
WITCH-GLOBIOM,SSP4-34,World,fossilco2,0.3%/y tolerance 2005-2040,0.563590187465725,-0.8683682861115634,-0.25467179743558266
WITCH-GLOBIOM,SSP4-34,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.30727137153827244,0.09925700006209148,0.18840601640902618
WITCH-GLOBIOM,SSP4-34,World,pop,0.3%/y tolerance 2005-2040,-0.12623665686713959,-0.13868252898722233,-0.13334858379290115
WITCH-GLOBIOM,SSP5-45,World,co2intensity,0.3%/y tolerance 2005-2040,-0.13317264094336134,0.06094037453776896,-0.02225091781128688
WITCH-GLOBIOM,SSP5-45,World,energyintensity,0.3%/y tolerance 2005-2040,0.10480926591029349,-1.3477829494840519,-0.725243428600761
WITCH-GLOBIOM,SSP5-45,World,fossilco2,0.3%/y tolerance 2005-2040,0.26670506169272024,0.22105403094848147,0.24061875841029806
