MODEL,SCENARIO,REGION,variable,growtherror,ieadivergencecps,ieadivergencestps,ieadivergencestps2020,errorplusdivergencestps,errorplusdivergencestps2020,absgrowtherror,absieadivergencecps,absieadivergencestps,absieadivergencestps2020,abserrorplusdivergencestps,abserrorplusdivergencestps2020,errorpctile,ieadivergencecpspctile,ieadivergencestpspctile,ieadivergencestpspctile2020,errorplusdivergencestpspctile,errorplusdivergencestpspctile2020,divergence01t0520,divergence02t0520,divergence03t0520,divergence01t2040,divergence02t2040,divergence03t2040,divergence01t0540,divergence02t0540,divergence03t0540
REMIND 1.3,AME 3.7 W/m2 NTE,World,pcgdpmer,0.8486385643173602,-0.5368425020536516,-0.5368425020536516,-0.16452968605365192,0.05693509781963918,0.26968527839106754,0.8486385643173602,0.5368425020536516,0.5368425020536516,0.16452968605365192,0.05693509781963918,0.26968527839106754,0.9520833333333333,0.7796451914098973,0.7796451914098973,0.5406162464985994,0.14014752370916755,0.4130663856691254,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME 3.7 W/m2 NTE,World,pop,-0.08793025213459016,-0.15277400222621607,-0.15277400222621607,-0.14040920922621603,-0.12498382361551924,-0.11791822761551922,0.08793025213459016,0.15277400222621607,0.15277400222621607,0.14040920922621603,0.12498382361551924,0.11791822761551922,0.16728971962616823,0.5943152454780362,0.5943152454780362,0.590869939707149,0.5127478753541076,0.506137865911237,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,co2intensity,0.29947675410279606,-0.126371940801684,0.19192765219831592,0.3456168111983158,0.23802012444309312,0.3258425010145216,0.29947675410279606,0.126371940801684,0.19192765219831592,0.3456168111983158,0.23802012444309312,0.3258425010145216,0.6821631878557874,0.09308755760368663,0.1400921658986175,0.26912442396313363,0.286673058485139,0.3844678811121764,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,energyintensity,-0.3980642580875082,0.3386757372746373,0.6970776152746373,0.4712515232746377,0.22773109811943204,0.09868761697657513,0.3980642580875082,0.3386757372746373,0.6970776152746373,0.4712515232746377,0.22773109811943204,0.09868761697657513,0.3919491525423729,0.3615023474178404,0.5708920187793427,0.4488262910798122,0.3215434083601286,0.12968917470525188,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,fossilco2,0.6681627720481338,-0.4685577222033426,0.20814374879665737,0.5206844247966573,0.40529475876157584,0.5838894307615758,0.6681627720481338,0.4685577222033426,0.20814374879665737,0.5206844247966573,0.40529475876157584,0.5838894307615758,0.5831775700934579,0.22665457842248413,0.11514052583862194,0.28921124206708976,0.2502360717658168,0.37488196411709157,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,pcgdpmer,0.8546805281674361,-0.5280875164500798,-0.5280875164500798,-0.15577470045008013,0.06452735981456986,0.2772775403859982,0.8546805281674361,0.5280875164500798,0.5280875164500798,0.15577470045008013,0.06452735981456986,0.2772775403859982,0.9541666666666667,0.7749766573295985,0.7749766573295985,0.4061624649859944,0.1696522655426765,0.440463645943098,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,pop,-0.08793025213459016,-0.15277400222621607,-0.15277400222621607,-0.14040920922621603,-0.12498382361551924,-0.11791822761551922,0.08793025213459016,0.15277400222621607,0.15277400222621607,0.14040920922621603,0.12498382361551924,0.11791822761551922,0.16728971962616823,0.5943152454780362,0.5943152454780362,0.590869939707149,0.5127478753541076,0.506137865911237,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $30 (5% p.a.),World,co2intensity,-0.196466442066769,-0.9748463201501978,-0.6565467271501979,-0.5028575681501979,-0.45936946211444263,-0.371547085543014,0.196466442066769,0.9748463201501978,0.6565467271501979,0.5028575681501979,0.45936946211444263,0.371547085543014,0.49335863377609107,0.7622119815668202,0.5557603686635945,0.38341013824884795,0.5685522531160115,0.44103547459252157,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME CO2 price $30 (5% p.a.),World,energyintensity,-1.0233424455337659,0.5958556621947206,0.9542575401947206,0.728431448194721,0.10671468916822646,-0.022328791974630446,1.0233424455337659,0.5958556621947206,0.9542575401947206,0.728431448194721,0.10671468916822646,0.022328791974630446,0.798728813559322,0.5755868544600939,0.7333333333333333,0.6600938967136151,0.16291532690246516,0.030010718113612004,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME CO2 price $30 (5% p.a.),World,fossilco2,-0.4977544594795833,-1.0596753863833146,-0.38297391538331466,-0.07043323938331464,-0.43216557713885834,-0.2535709051388583,0.4977544594795833,1.0596753863833146,0.38297391538331466,0.07043323938331464,0.43216557713885834,0.2535709051388583,0.47757009345794393,0.5394378966455122,0.18948322756119673,0.033544877606527655,0.26251180358829085,0.182247403210576,0,0,0,1,1,1,0,0,1
