"grouping","model","pcrGDP","fit","CI_lower","CI_upper"
"Tilman","Kuznets",2.61033829537846,3.00453704020192,2.75981675276617,3.25303737067745
"Tilman","Kuznets",2.64823914511541,3.0250782475622,2.77840531296043,3.27303467073759
"Tilman","Kuznets",2.68613999485235,3.0449863055569,2.79420016408637,3.29588928435106
"Tilman","Kuznets",2.7240408445893,3.0642837050484,2.81097107514011,3.31691133492367
"Tilman","Kuznets",2.76194169432624,3.08299187423453,2.82901992830887,3.33595313569474
"Tilman","Kuznets",2.79984254406319,3.10113124187777,2.8460563003823,3.35548457651956
"Tilman","Kuznets",2.83774339380014,3.11872129600065,2.86159642937038,3.3750465167644
"Tilman","Kuznets",2.87564424353708,3.13578063842662,2.87850262412421,3.39405835117966
"Tilman","Kuznets",2.91354509327403,3.15232703550993,2.89206007205981,3.41094560147095
"Tilman","Kuznets",2.95144594301097,3.1683774653654,2.90517049897262,3.42895622858659
"Tilman","Kuznets",2.98934679274792,3.18394816188019,2.91845337092522,3.44864450549518
"Tilman","Kuznets",3.02724764248487,3.1990546557636,2.93099696916894,3.46271794004187
"Tilman","Kuznets",3.06514849222181,3.21371181286775,2.944634023062,3.4779598418736
"Tilman","Kuznets",3.10304934195876,3.22793386999112,2.95913684740599,3.49516636540733
"Tilman","Kuznets",3.1409501916957,3.24173446835806,2.97325520867945,3.51296036037921
"Tilman","Kuznets",3.17885104143265,3.25512668495057,2.98699592400944,3.52805808097614
"Tilman","Kuznets",3.21675189116959,3.26812306185326,2.99929234303436,3.54256812764498
"Tilman","Kuznets",3.25465274090654,3.28073563375884,3.01079492765477,3.55602419583158
"Tilman","Kuznets",3.29255359064349,3.29297595376864,3.02197540974236,3.56906193332419
"Tilman","Kuznets",3.33045444038043,3.3048551176119,3.03241494220902,3.5816939038928
"Tilman","Kuznets",3.36835529011738,3.31638378639698,3.04152033756709,3.5956689863841
"Tilman","Kuznets",3.40625613985432,3.32757220799848,3.05185835984647,3.60938336830154
"Tilman","Kuznets",3.44415698959127,3.33843023717585,3.06097476957455,3.62151010466922
"Tilman","Kuznets",3.48205783932822,3.34896735451148,3.06986847935971,3.63323314907654
"Tilman","Kuznets",3.51995868906516,3.35919268424927,3.07806934207535,3.64459937752278
"Tilman","Kuznets",3.55785953880211,3.36911501110811,3.08483818894745,3.65561888214713
"Tilman","Kuznets",3.59576038853905,3.37874279613938,3.09406855113004,3.66653254989026
"Tilman","Kuznets",3.633661238276,3.38808419169184,3.10314117571161,3.67741696762166
"Tilman","Kuznets",3.67156208801295,3.3971470555427,3.11090599438022,3.68817363351641
"Tilman","Kuznets",3.70946293774989,3.40593896424916,3.1191404256079,3.69785592021852
"Tilman","Kuznets",3.74736378748684,3.41446722577078,3.1283827825229,3.70723689306501
"Tilman","Kuznets",3.78526463722378,3.42273889140907,3.13738723698363,3.71579837243474
"Tilman","Kuznets",3.82316548696073,3.4307607671077,3.14617305188836,3.72469294970022
"Tilman","Kuznets",3.86106633669768,3.43853942415312,3.15319967863068,3.73359627310382
"Tilman","Kuznets",3.89896718643462,3.44608120931303,3.15895116610655,3.74079537774657
"Tilman","Kuznets",3.93686803617157,3.45339225444698,3.16647028373817,3.74898705641457
"Tilman","Kuznets",3.97476888590851,3.46047848562152,3.17391983812694,3.75795636164326
"Tilman","Kuznets",4.01266973564546,3.46734563175944,3.18103568628859,3.76661323452554
"Tilman","Kuznets",4.05057058538241,3.47399923285128,3.18631041760642,3.77340233802413
"Tilman","Kuznets",4.08847143511935,3.4804446477547,3.19148387354191,3.77945692312079
"Tilman","Kuznets",4.1263722848563,3.48668706160617,3.19759626993794,3.78721640017146
"Tilman","Kuznets",4.16427313459324,3.49273149286729,3.20274023614901,3.7944201280658
"Tilman","Kuznets",4.20217398433019,3.49858280002699,3.20775952622939,3.80074341648605
"Tilman","Kuznets",4.24007483406714,3.50424568797906,3.21262079165817,3.80741416916251
"Tilman","Kuznets",4.27797568380408,3.50972471409364,3.21724253631385,3.81384941487784
"Tilman","Kuznets",4.31587653354103,3.51502429399962,3.2208070195038,3.82003702987124
"Tilman","Kuznets",4.35377738327797,3.52014870709417,3.22504101331164,3.82611846358525
"Tilman","Kuznets",4.39167823301492,3.52510210179442,3.23025505524944,3.83212180320543
"Tilman","Kuznets",4.42957908275186,3.52988850054543,3.23436520605939,3.83793709181562
"Tilman","Kuznets",4.46747993248881,3.53451180459763,3.23830069105455,3.84357244063539
"Tilman","Kuznets",4.50538078222576,3.53897579856618,3.24234737050268,3.84903198685914
"Tilman","Kuznets",4.5432816319627,3.54328415478383,3.24566505960855,3.85413185976483
"Tilman","Kuznets",4.58118248169965,3.54744043745831,3.24912206802691,3.8587407548375
"Tilman","Kuznets",4.61908333143659,3.55144810664446,3.25258235542611,3.86335217539342
"Tilman","Kuznets",4.65698418117354,3.55531052204068,3.25605892043389,3.86763222684106
"Tilman","Kuznets",4.69488503091049,3.55903094661895,3.25903908569903,3.87225639598165
"Tilman","Kuznets",4.73278588064743,3.56261255009684,3.26197807956814,3.87659654339053
"Tilman","Kuznets",4.77068673038438,3.56605841225952,3.26480222726506,3.87989610752362
"Tilman","Kuznets",4.80858758012132,3.56937152613946,3.26751406683279,3.88304472295457
"Tilman","Kuznets",4.84648842985827,3.57255480106085,3.27014672942864,3.88655057689614
