"Grouping","Model","Bootstrap_Replicate","Parameter_1","Parameter_2","Parameter_3"
"Tilman","Kuznets",39,0.537806612964015,3.64640778346893,-1.00122174266383
"Tilman","Kuznets_Asymptoting",39,0.516085269843895,5.2821101793042,3.51630437553464
"Tilman","Kuznets",40,0.765394390614513,2.94221205246817,-0.792422625731702
"Tilman","Kuznets_Asymptoting",40,0.517382938512042,4.06548812414366,3.9752584526524
"Tilman","Kuznets",41,1.29604802367193,2.32662999656559,-0.628713015811481
"Tilman","Kuznets_Asymptoting",41,1.0143924692477,3.57176916773137,4.20217073205631
"Tilman","Kuznets",42,0.895190224172654,3.1239923626514,-0.866648590631417
"Tilman","Kuznets_Asymptoting",42,0.908601855657542,5.25539775798385,3.16847932066199
"Tilman","Kuznets",43,0.356260997663528,3.68207197286062,-1.0473417691698
"Tilman","Kuznets_Asymptoting",43,0.323020154646642,4.73000081839308,3.26029820532764
"Tilman","Kuznets",44,0.713049647152211,3.48742083971775,-0.96245320571366
"Tilman","Kuznets_Asymptoting",44,0.517292578753062,4.53757071118061,4.19495819808468
"Tilman","Kuznets",45,0.994417929031857,2.88670814885666,-0.785341430918867
"Tilman","Kuznets_Asymptoting",45,0.618596624902025,3.81875887453896,4.51769778443325
"Tilman","Kuznets",46,1.14447067704291,2.57638950916233,-0.692173204490333
"Tilman","Kuznets_Asymptoting",46,0.816590486450054,3.98433825549176,4.17199665454677
"Tilman","Kuznets",47,0.354302702590404,3.68817077051068,-0.989501127700554
"Tilman","Kuznets_Asymptoting",47,0.305531507068042,5.05438775093879,3.73843680026678
"Tilman","Kuznets",48,0.550410354289146,3.57500192291568,-0.970544800957517
"Tilman","Kuznets_Asymptoting",48,0.366813510043587,4.00515288307469,4.49971507873286
"Tilman","Kuznets",49,0.599659501505765,3.41253854987812,-0.94227942016777
"Tilman","Kuznets_Asymptoting",49,0.509548303989841,5.00122376584364,3.59319508319394
"Tilman","Kuznets",50,0.991404997175148,3.32486196891125,-0.958555035249774
"Tilman","Kuznets_Asymptoting",50,0.920598610585038,5.0685601162141,3.64120168249887
"Tilman","Kuznets",51,0.869509788332068,3.1236222308639,-0.8487422927758
"Tilman","Kuznets_Asymptoting",51,0.693675723477505,4.53466498974717,3.97739957706258
"Tilman","Kuznets",52,0.955290669878814,3.20214706903965,-0.913975827785132
"Tilman","Kuznets_Asymptoting",52,0.901138367135393,4.73260642402804,3.44801884763022
"Tilman","Kuznets",53,1.03948392374341,3.22324622518656,-0.911069838413376
"Tilman","Kuznets_Asymptoting",53,0.792568103078927,4.50015777189867,4.2264512345685
"Tilman","Kuznets",54,1.09097072498674,2.83225711583245,-0.752330198868162
"Tilman","Kuznets_Asymptoting",54,0.770001612623642,3.73966017584371,4.70139068548681
"Tilman","Kuznets",55,0.932944864127727,2.77396425081489,-0.743416521626231
"Tilman","Kuznets_Asymptoting",55,0.613622333434331,3.79427851546526,4.23234195046764
"Tilman","Kuznets",56,0.586120565469548,3.36911789473021,-0.938113498895031
"Tilman","Kuznets_Asymptoting",56,0.514001753114337,4.7096545395184,3.42499283603923
"Tilman","Kuznets",57,1.18840121905508,2.76438754019249,-0.803592797729151
"Tilman","Kuznets_Asymptoting",57,0.956036459426452,3.9387739398841,3.94318293886869
"Tilman","Kuznets",58,1.45105103634547,2.3942303812205,-0.662805604085058
"Tilman","Kuznets_Asymptoting",58,0.87365521983695,3.17558401035955,5.00806030388188
"Tilman","Kuznets",59,0.488598856426959,3.43262946789917,-0.893440793171205
"Tilman","Kuznets_Asymptoting",59,0.319183733314629,4.72355680639499,4.01562588457238
"Tilman","Kuznets",60,0.12436803921831,4.07514051153559,-1.08977332389788
"Tilman","Kuznets_Asymptoting",60,-0.0362441416439254,4.49337679526195,4.34602813646311
"Tilman","Kuznets",61,0.838467457532548,2.89084548652838,-0.794439473849056
"Tilman","Kuznets_Asymptoting",61,0.526179363451643,3.8593825199621,4.03079533053747
"Tilman","Kuznets",62,0.946517031135491,3.31459022317838,-0.920301609518837
"Tilman","Kuznets_Asymptoting",62,0.905351138785815,5.2244903923243,3.67032390570069
"Tilman","Kuznets",63,0.891984348193242,3.41067282805649,-0.941693116840034
"Tilman","Kuznets_Asymptoting",63,0.596068179641494,4.06765184477918,4.7622340527015
"Tilman","Kuznets",64,0.366400530141426,3.47824145902266,-0.939884712446333
"Tilman","Kuznets_Asymptoting",64,0.167135350596049,4.38832681334918,3.93733026433417
"Tilman","Kuznets",65,0.646515854687537,3.49472174689871,-0.97768726818468
"Tilman","Kuznets_Asymptoting",65,0.732081102941477,5.36449893765045,3.07965867281058
"Tilman","Kuznets",66,0.897696177963299,2.7535376106048,-0.728702741349578
"Tilman","Kuznets_Asymptoting",66,0.446486437099624,3.40273406391567,4.6715880717698
"Tilman","Kuznets",67,0.908421628988405,2.6514181047774,-0.674543112113715
"Tilman","Kuznets_Asymptoting",67,0.557643571494636,3.19115482796785,4.80371601988273
"Tilman","Kuznets",68,0.8308411378,2.87918119929266,-0.795632456482856
"Tilman","Kuznets_Asymptoting",68,0.770679845688026,4.60939121217014,3.19380220994186
"Tilman","Kuznets",69,0.80319911387659,2.99748239208943,-0.786199679120846
"Tilman","Kuznets_Asymptoting",69,0.418111106370716,3.94996511233355,4.48582336319113
"Tilman","Kuznets",70,1.25414405849125,2.62398267638774,-0.741447775776793
"Tilman","Kuznets_Asymptoting",70,1.02818689887987,4.17760079974973,3.86538894998589
"Tilman","Kuznets",71,0.741653200283749,3.23098854451599,-0.869865259587193
