MODEL,SCENARIO,CLIMATE_METRIC,CLIMATE_VALUE,CLIMATE,BUDGET_2100,BUDGET_2050,OVERSHOOT,NEGATIVE_EMISSION,POLICY,TECHNOLOGY,BASELINE,Baseline Scenario
MERGE_EMF27,EMF27-FP-EERE,Forcing (MAGICC6),4.9870762547908,Category 5,Category 6,Category 5 - 6,O1,N1,P6,T3,EMF27-Base-EERE,Policy
MERGE_EMF27,EMF27-FP-FullTech,Forcing (MAGICC6),5.1800240760269,Category 6,Category 6,Category 6,O1,N1,P6,T0,EMF27-Base-FullTech,Policy
MERGE_EMF27,EMF27-G8-EERE,Forcing (MAGICC6),3.4677463676069,Category 3,Category 3,N/A,O1,N1,P7,T3,EMF27-Base-EERE,Policy
MERGE_EMF27,EMF27-G8-FullTech,Forcing (MAGICC6),3.6587516486584,Category 3,Category 3,N/A,O1,N1,P7,T0,EMF27-Base-FullTech,Policy
MESSAGE V.1,EMF22 2.6 OS,Forcing Kyoto Gases (MAGICC6),2.841357370301,Category 1,Category 1,Category 3 - 5,O2,N2,P1,T0,EMF22 Reference,Policy
MESSAGE V.1,EMF22 2.6 OS No BECCS,Forcing Kyoto Gases (MAGICC6),2.7259799968335,Category 1,Category 1,Category 2,O2,N1,P1,T3,EMF22 Reference,Policy
MESSAGE V.1,EMF22 3.7 NTE,Forcing Kyoto Gases (MAGICC6),3.7324346559507,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T0,EMF22 Reference,Policy
MESSAGE V.1,EMF22 3.7 NTE No BECCS,Forcing Kyoto Gases (MAGICC6),3.7313771850459,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF22 Reference,Policy
MESSAGE V.1,EMF22 3.7 OS,Forcing Kyoto Gases (MAGICC6),3.802910082464,Category 3,Category 4,Category 4 - 6,O2,N2,P1,T0,EMF22 Reference,Policy
MESSAGE V.1,EMF22 3.7 OS No BECCS,Forcing Kyoto Gases (MAGICC6),3.8009676695854,Category 3,Category 3,Category 5 - 6,O1,N1,P1,T3,EMF22 Reference,Policy
MESSAGE V.1,EMF22 3.7 OS w Delay,Forcing Kyoto Gases (MAGICC6),3.8134346801418,Category 3,Category 3,N/A,O2,N2,P5,T0,EMF22 Reference,Policy
MESSAGE V.1,EMF22 4.5 NTE,Forcing Kyoto Gases (MAGICC6),4.4797551424031,Category 4,Category 5,Category 4 - 6,O1,N1,P1,T0,EMF22 Reference,Policy
MESSAGE V.1,EMF22 4.5 NTE No BECCS,Forcing Kyoto Gases (MAGICC6),4.4795374472033,Category 4,Category 5,Category 5 - 6,O1,N1,P1,T3,EMF22 Reference,Policy
MESSAGE V.1,EMF22 4.5 NTE w Delay,Forcing Kyoto Gases (MAGICC6),4.4832516690252,Category 4,Category 4,N/A,O1,N1,P5,T0,EMF22 Reference,Policy
MESSAGE V.2,RCP 8.5_MIT_2.6W,Forcing (MAGICC6),3.0868192863415,Category 2,Category 1,Category 1 - 2,O1,N2,P1,T0,RCP 8.5,Policy
MESSAGE V.2,RCP 8.5_MIT_4.5W,Forcing (MAGICC6),4.9818525987579,Category 5,Category 5,Category 6,O1,N1,P1,T0,RCP 8.5,Policy
MESSAGE V.2,RCP 8.5_MIT_6W,Forcing (MAGICC6),6.379854855499,Category 6,Category 6,Category 6,O1,N1,P1,T0,RCP 8.5,Policy
MESSAGE V.3,AME 2.6 W/m2 OS,Forcing (MAGICC6),3.1097840481528,Category 2,Category 2,Category 1 - 2,O2,N1,P1,T0,AME Reference,Policy
MESSAGE V.3,AME 3.7 W/m2 NTE,Forcing (MAGICC6),4.0486693042512,Category 4,Category 3,Category 3 - 5,O1,N1,P1,T0,AME Reference,Policy
MESSAGE V.3,AME CO2 price $10 (5% p.a.),Forcing (MAGICC6),4.0841635506808,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T0,AME Reference,Policy
MESSAGE V.3,AME CO2 price $30 (5% p.a.),Forcing (MAGICC6),3.1691438128132,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T0,AME Reference,Policy
MESSAGE V.3,AME CO2 price $50 (5% p.a.),Forcing (MAGICC6),2.8607718084449,Category 1,Category 1,Category 1 - 2,O2,N1,P1,T0,AME Reference,Policy
MESSAGE V.3,GEA Efficiency_450_Illustrative,Forcing (MAGICC6),3.0272376351761,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_full,Forcing (MAGICC6),3.0311137102074,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_limbe,Forcing (MAGICC6),2.9986042444665,Category 2,Category 2,Category 2 - 4,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_limbe_limir,Forcing (MAGICC6),2.9859288702102,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_limir,Forcing (MAGICC6),3.0229534985679,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_nbecs,Forcing (MAGICC6),3.0161501661789,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_nbecs_nsink_limbe,Forcing (MAGICC6),3.0017890450707,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_noccs,Forcing (MAGICC6),3.0097262741475,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_noccs_nonuc,Forcing (MAGICC6),3.0072826296268,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_adv.transp_nsink,Forcing (MAGICC6),3.0120521852575,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_full,Forcing (MAGICC6),3.0246502640362,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_limbe,Forcing (MAGICC6),3.0405099021847,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_limbe_limir,Forcing (MAGICC6),2.9760620610074,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_limir,Forcing (MAGICC6),3.0109275433019,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_nbecs,Forcing (MAGICC6),3.0086031368242,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_nbecs_nsink_limbe,Forcing (MAGICC6),3.0256634321777,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_noccs,Forcing (MAGICC6),3.0001792870242,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_noccs_nonuc,Forcing (MAGICC6),2.9964246916415,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_nonuc,Forcing (MAGICC6),3.0232718707538,Category 2,Category 2,Category 2 - 4,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Efficiency_450_conv.transp_nsink,Forcing (MAGICC6),3.0648581362877,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_Illustrative,Forcing (MAGICC6),3.0000427332141,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_full,Forcing (MAGICC6),3.0207201898117,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_limbe,Forcing (MAGICC6),2.9738101336512,Category 2,Category 2,Category 1 - 2,O2,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_limir,Forcing (MAGICC6),3.0222506228858,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_nbecs,Forcing (MAGICC6),2.9946251712634,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_noccs,Forcing (MAGICC6),2.9913046203353,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_nonuc,Forcing (MAGICC6),3.0291609196919,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_adv.transp_nsink,Forcing (MAGICC6),3.0046215839168,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_conv.transp_limbe,Forcing (MAGICC6),2.9946909422864,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_conv.transp_limir,Forcing (MAGICC6),3.0332872520249,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_conv.transp_nbecs,Forcing (MAGICC6),2.9680377631699,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_conv.transp_nonuc,Forcing (MAGICC6),3.0126111850873,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Mix_450_conv.transp_nsink,Forcing (MAGICC6),3.0448165499423,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_Illustrative,Forcing (MAGICC6),2.986522224735,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_adv.transp_limbe,Forcing (MAGICC6),2.9741615345091,Category 2,Category 2,Category 1 - 2,O2,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_adv.transp_limir,Forcing (MAGICC6),3.0255565188142,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_adv.transp_nbecs,Forcing (MAGICC6),2.978308849349,Category 2,Category 2,Category 2,O1,N1,P1,T3,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_adv.transp_nonuc,Forcing (MAGICC6),3.0111799152994,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_adv.transp_nsink,Forcing (MAGICC6),3.0240158602963,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_conv.transp_full,Forcing (MAGICC6),2.9931322161192,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.3,GEA Supply_450_conv.transp_nonuc,Forcing (MAGICC6),3.0067666349178,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,GEA Counterfactual,Policy
MESSAGE V.4,AMPERE2-450-Conv-OPT,Forcing (MAGICC6),3.3639880231767,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,AMPERE2-Base-Conv-OPT,Policy
MESSAGE V.4,AMPERE2-450-EERE-OPT,Forcing (MAGICC6),3.1816687766071,Category 2,Category 2,Category 2,O1,N1,P1,T3,AMPERE2-Base-EERE-OPT,Policy
MESSAGE V.4,AMPERE2-450-FullTech-HST,Forcing (MAGICC6),3.2241937795674,Category 2,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-450-FullTech-LST,Forcing (MAGICC6),3.2875997562077,Category 2,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-450-FullTech-OPT,Forcing (MAGICC6),3.3105922957883,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-450-LimBio-LST,Forcing (MAGICC6),3.2505366757877,Category 2,Category 2,N/A,O1,N1,P3,T2,AMPERE2-Base-LimBio-OPT,Policy
MESSAGE V.4,AMPERE2-450-LimBio-OPT,Forcing (MAGICC6),3.3187158913494,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,AMPERE2-Base-LimBio-OPT,Policy
MESSAGE V.4,AMPERE2-450-LimSW-HST,Forcing (MAGICC6),3.2694232351006,Category 2,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-LimSW-OPT,Policy
MESSAGE V.4,AMPERE2-450-LimSW-LST,Forcing (MAGICC6),3.3209583901852,Category 2,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-LimSW-OPT,Policy
MESSAGE V.4,AMPERE2-450-LimSW-OPT,Forcing (MAGICC6),3.3784383874471,Category 2,Category 2,Category 2 - 4,O1,N1,P1,T2,AMPERE2-Base-LimSW-OPT,Policy
MESSAGE V.4,AMPERE2-450-LowEI-HST,Forcing (MAGICC6),3.2075596797106,Category 2,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
MESSAGE V.4,AMPERE2-450-LowEI-LST,Forcing (MAGICC6),3.1710065841435,Category 2,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
MESSAGE V.4,AMPERE2-450-LowEI-OPT,Forcing (MAGICC6),3.2011942170962,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-LowEI-OPT,Policy
MESSAGE V.4,AMPERE2-450-NoCCS-OPT,Forcing (MAGICC6),3.2590559260264,Category 2,Category 2,Category 2,O1,N1,P1,T3,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-450-NucOff-HST,Forcing (MAGICC6),3.2265879563773,Category 2,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-NucOff-OPT,Policy
MESSAGE V.4,AMPERE2-450-NucOff-LST,Forcing (MAGICC6),3.2991486133435,Category 2,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-NucOff-OPT,Policy
MESSAGE V.4,AMPERE2-450-NucOff-OPT,Forcing (MAGICC6),3.3222072971126,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T2,AMPERE2-Base-NucOff-OPT,Policy
MESSAGE V.4,AMPERE2-550-Conv-OPT,Forcing (MAGICC6),4.2749128205767,Category 4,Category 4,Category 3 - 5,O1,N1,P1,T2,AMPERE2-Base-Conv-OPT,Policy
MESSAGE V.4,AMPERE2-550-EERE-OPT,Forcing (MAGICC6),4.0333986174036,Category 4,Category 4,Category 4 - 5,O1,N1,P1,T3,AMPERE2-Base-EERE-OPT,Policy
MESSAGE V.4,AMPERE2-550-FullTech-HST,Forcing (MAGICC6),4.1990445674774,Category 4,Category 4,N/A,O1,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-550-FullTech-LST,Forcing (MAGICC6),4.2403707332904,Category 4,Category 4,N/A,O1,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-550-FullTech-OPT,Forcing (MAGICC6),4.2138615169841,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-550-LimBio-OPT,Forcing (MAGICC6),4.2145276839112,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T2,AMPERE2-Base-LimBio-OPT,Policy
MESSAGE V.4,AMPERE2-550-LimSW-OPT,Forcing (MAGICC6),4.2643552270847,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T2,AMPERE2-Base-LimSW-OPT,Policy
MESSAGE V.4,AMPERE2-550-LowEI-OPT,Forcing (MAGICC6),4.0570601167711,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE2-Base-LowEI-OPT,Policy
MESSAGE V.4,AMPERE2-550-NoCCS-OPT,Forcing (MAGICC6),4.0732282363369,Category 4,Category 4,Category 4 - 5,O1,N1,P1,T3,AMPERE2-Base-FullTech-OPT,Policy
MESSAGE V.4,AMPERE2-550-NucOff-OPT,Forcing (MAGICC6),4.2335180875779,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T2,AMPERE2-Base-NucOff-OPT,Policy
MESSAGE V.4,AMPERE3-450,Forcing (MAGICC6),3.3161595377008,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-450P-EU,Forcing (MAGICC6),3.8214525267377,Category 3,Category 3,N/A,O1,N1,P4,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-550,Forcing (MAGICC6),4.1919796394663,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-CF450,Forcing (MAGICC6),3.3105922957883,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-CF550,Forcing (MAGICC6),4.2138615169841,Category 4,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-RefP-EU,Forcing (MAGICC6),5.9142805528236,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-RefP-EUback,Forcing (MAGICC6),5.8448431952473,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MESSAGE V.4,AMPERE3-RefPol,Forcing (MAGICC6),6.1062123281231,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MESSAGE V.4,EMF27-450-EERE,Forcing (MAGICC6),2.949028706631,Category 2,Category 1,Category 2,O1,N1,P1,T3,EMF27-Base-EERE,Policy
MESSAGE V.4,EMF27-450-FullTech,Forcing (MAGICC6),2.9944079726199,Category 2,Category 1,Category 2 - 4,O2,N1,P1,T0,EMF27-Base-FullTech,Policy
MESSAGE V.4,EMF27-450-LimBio,Forcing (MAGICC6),2.9433526954667,Category 2,Category 1,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-LimBio,Policy
MESSAGE V.4,EMF27-450-LimSW,Forcing (MAGICC6),2.9921035514053,Category 2,Category 1,Category 1 - 2,O2,N1,P1,T2,EMF27-Base-LimSW,Policy
MESSAGE V.4,EMF27-450-LowEI,Forcing (MAGICC6),3.0289049614343,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,EMF27-Base-LowEI,Policy
MESSAGE V.4,EMF27-450-NucOff,Forcing (MAGICC6),3.0026150784831,Category 2,Category 1,Category 2 - 4,O2,N1,P1,T2,EMF27-Base-NucOff,Policy
MESSAGE V.4,EMF27-550-Conv,Forcing (MAGICC6),3.7935789856474,Category 3,Category 2,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-Conv,Policy
MESSAGE V.4,EMF27-550-EERE,Forcing (MAGICC6),3.7301820015145,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-EERE,Policy
MESSAGE V.4,EMF27-550-FullTech,Forcing (MAGICC6),3.7830123485489,Category 3,Category 2,Category 1 - 2,O1,N1,P1,T0,EMF27-Base-FullTech,Policy
MESSAGE V.4,EMF27-550-LimBio,Forcing (MAGICC6),3.7709450989007,Category 3,Category 3,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-LimBio,Policy
MESSAGE V.4,EMF27-550-LimSW,Forcing (MAGICC6),3.8072912810369,Category 3,Category 2,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-LimSW,Policy
MESSAGE V.4,EMF27-550-LowEI,Forcing (MAGICC6),3.7683438252802,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T0,EMF27-Base-LowEI,Policy
MESSAGE V.4,EMF27-550-NoCCS,Forcing (MAGICC6),3.7517254301276,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-FullTech,Policy
MESSAGE V.4,EMF27-550-NucOff,Forcing (MAGICC6),3.7957610958858,Category 3,Category 2,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-NucOff,Policy
MESSAGE V.4,LIMITS-450,Forcing (MAGICC6),2.87028507779,Category 1,Category 1,Category 1 - 2,O2,N1,P1,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-500,Forcing (MAGICC6),3.2583743162579,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol,Forcing (MAGICC6),5.885132271639,Category 6,Category 6,Category 6,O1,N1,P6,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol-450,Forcing (MAGICC6),2.8488883243913,Category 1,Category 1,Category 1 - 2,O2,N1,P2,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol-450-EE,Forcing (MAGICC6),2.8480488446146,Category 1,Category 1,Category 1 - 2,O2,N1,P2,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol-450-PC,Forcing (MAGICC6),2.8492069217125,Category 1,Category 1,Category 1 - 2,O2,N1,P2,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol-500,Forcing (MAGICC6),3.2376521619539,Category 2,Category 2,Category 2 - 4,O2,N1,P2,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-RefPol2030-500,Forcing (MAGICC6),3.2224081915081,Category 2,Category 2,N/A,O2,N1,P3,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-StrPol,Forcing (MAGICC6),5.4185011060399,Category 6,Category 6,Category 4 - 6,O1,N1,P6,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-StrPol-450,Forcing (MAGICC6),2.8518423215256,Category 1,Category 1,Category 1 - 2,O2,N1,P2,T0,LIMITS-Base,Policy
MESSAGE V.4,LIMITS-StrPol-500,Forcing (MAGICC6),3.2420673252345,Category 2,Category 2,Category 2 - 4,O2,N1,P2,T0,LIMITS-Base,Policy
MiniCAM_EMF22,EMF22 2.6 NTE,Forcing Kyoto Gases (MAGICC6),3.001689189584,Category 1,Category 1,Category 1,O1,N1,P1,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 2.6 OS,Forcing Kyoto Gases (MAGICC6),3.0364019364382,Category 1,Category 2,Category 1 - 2,O2,N1,P1,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 2.6 OS Lo Tech,Forcing Kyoto Gases (MAGICC6),3.0191208487392,Category 1,Category 1,Category 1,O1,N1,P1,T3,N/A,Policy
MiniCAM_EMF22,EMF22 2.6 OS w Delay,Forcing Kyoto Gases (MAGICC6),3.0481206177271,Category 1,Category 2,N/A,O2,N1,P5,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 3.7 NTE,Forcing Kyoto Gases (MAGICC6),4.0407596275963,Category 3,Category 4,Category 2 - 4,O1,N1,P1,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 3.7 NTE Lo Tech,Forcing Kyoto Gases (MAGICC6),4.0334159649691,Category 3,Category 4,Category 3 - 4,O1,N1,P1,T3,N/A,Policy
MiniCAM_EMF22,EMF22 3.7 OS,Forcing Kyoto Gases (MAGICC6),4.0389462394848,Category 3,Category 4,Category 4 - 6,O1,N1,P1,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 3.7 OS Lo Tech,Forcing Kyoto Gases (MAGICC6),4.0334159649691,Category 3,Category 4,Category 3 - 4,O1,N1,P1,T3,N/A,Policy
MiniCAM_EMF22,EMF22 3.7 OS w Delay,Forcing Kyoto Gases (MAGICC6),4.0361371448242,Category 3,Category 4,N/A,O1,N1,P5,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 3.7 OS w Delay Lo Tech,Forcing Kyoto Gases (MAGICC6),3.9511484556674,Category 3,Category 4,N/A,O1,N1,P5,T3,N/A,Policy
MiniCAM_EMF22,EMF22 4.5 NTE,Forcing Kyoto Gases (MAGICC6),4.8035529924525,Category 5,Category 5,Category 4 - 6,O1,N1,P1,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 4.5 NTE Lo Tech,Forcing Kyoto Gases (MAGICC6),4.7446491525346,Category 5,Category 5,Category 5 - 6,O1,N1,P1,T3,N/A,Policy
MiniCAM_EMF22,EMF22 4.5 NTE w Delay,Forcing Kyoto Gases (MAGICC6),4.7532337006604,Category 5,Category 5,N/A,O1,N1,P5,T0,EMF22 Reference,Policy
MiniCAM_EMF22,EMF22 4.5 NTE w Delay Lo Tech,Forcing Kyoto Gases (MAGICC6),4.734875125135,Category 5,Category 5,N/A,O1,N1,P5,T3,N/A,Policy
POLES AMPERE,AMPERE2-450-Conv-HST,Carbon Budget 2100,1153642.3921875,Category 2,Category 2,N/A,N/A,N1,P3,T2,AMPERE2-Base-Conv-OPT,Policy
POLES AMPERE,AMPERE2-450-Conv-LST,Carbon Budget 2100,1131203.755625,Category 2,Category 2,N/A,N/A,N1,P3,T2,AMPERE2-Base-Conv-OPT,Policy
POLES AMPERE,AMPERE2-450-Conv-OPT,Carbon Budget 2100,1103583.9425,Category 2,Category 2,Category 1 - 2,N/A,N1,P1,T2,AMPERE2-Base-Conv-OPT,Policy
POLES AMPERE,AMPERE2-450-EERE-OPT,Carbon Budget 2100,1102397.9175,Category 2,Category 2,Category 2,N/A,N1,P1,T3,AMPERE2-Base-EERE-OPT,Policy
POLES AMPERE,AMPERE2-450-FullTech-HST,Carbon Budget 2100,1121547.800625,Category 2,Category 2,N/A,N/A,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
POLES AMPERE,AMPERE2-450-FullTech-LST,Carbon Budget 2100,1112293.4407812,Category 2,Category 2,N/A,N/A,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
POLES AMPERE,AMPERE2-450-FullTech-OPT,Carbon Budget 2100,1089769.7657568,Category 2,Category 2,Category 1 - 2,N/A,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
POLES AMPERE,AMPERE2-450-LimBio-HST,Carbon Budget 2100,1144114.2425,Category 2,Category 2,N/A,N/A,N1,P3,T2,AMPERE2-Base-LimBio-OPT,Policy
POLES AMPERE,AMPERE2-450-LimBio-LST,Carbon Budget 2100,1130231.230625,Category 2,Category 2,N/A,N/A,N1,P3,T2,AMPERE2-Base-LimBio-OPT,Policy
POLES AMPERE,AMPERE2-450-LimBio-OPT,Carbon Budget 2100,1100216.9957813,Category 2,Category 2,Category 1 - 2,N/A,N1,P1,T2,AMPERE2-Base-LimBio-OPT,Policy
POLES AMPERE,AMPERE2-450-LimSW-HST,Carbon Budget 2100,1124436.8009375,Category 2,Category 2,N/A,N/A,N1,P3,T2,AMPERE2-Base-LimSW-OPT,Policy
