MODEL,SCENARIO,REGION,variable,filter,growtherror
AIM/CGE,SSP2-19,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.49670738479880105
AIM/CGE,SSP2-19,World,pop,0.3%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-26,World,co2intensity,0.3%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-26,World,energyintensity,0.3%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-26,World,fossilco2,0.3%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-26,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-26,World,pop,0.3%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-34,World,co2intensity,0.3%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-34,World,energyintensity,0.3%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-34,World,fossilco2,0.3%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-34,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-34,World,pop,0.3%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-45,World,co2intensity,0.3%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-45,World,energyintensity,0.3%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-45,World,fossilco2,0.3%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-45,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-45,World,pop,0.3%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-60,World,co2intensity,0.3%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-60,World,energyintensity,0.3%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-60,World,fossilco2,0.3%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-60,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-60,World,pop,0.3%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP4-26,World,co2intensity,0.3%/y tolerance 2005-2020,0.08352394496540994
AIM/CGE,SSP4-26,World,energyintensity,0.3%/y tolerance 2005-2020,-0.19124654634995109
AIM/CGE,SSP4-26,World,fossilco2,0.3%/y tolerance 2005-2020,0.23852010754276343
AIM/CGE,SSP4-26,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.4800060929671446
AIM/CGE,SSP4-26,World,pop,0.3%/y tolerance 2005-2020,-0.13376338403984
AIM/CGE,SSP4-34,World,co2intensity,0.3%/y tolerance 2005-2020,0.08352394496540994
AIM/CGE,SSP4-34,World,energyintensity,0.3%/y tolerance 2005-2020,-0.19124654634995109
AIM/CGE,SSP4-34,World,fossilco2,0.3%/y tolerance 2005-2020,0.23852010754276343
AIM/CGE,SSP4-34,World,pcgdpppp,0.3%/y tolerance 2005-2020,0.4800060929671446
AIM/CGE,SSP4-34,World,pop,0.3%/y tolerance 2005-2020,-0.13376338403984
AIM/CGE,SSP4-45,World,co2intensity,0.3%/y tolerance 2005-2020,0.08352394496540994
AIM/CGE,SSP4-45,World,energyintensity,0.3%/y tolerance 2005-2020,-0.19124654634995109
AIM/CGE,SSP4-45,World,fossilco2,0.3%/y tolerance 2005-2020,0.23852010754276343
