MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
IMACLIM v1.1,EMF27-550-Conv,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMACLIM v1.1,EMF27-550-FullTech,World,co2intensity,0.1%/y tolerance 2005-2040,-0.2040649762515806,0.890709415199774,0.42152039029205063
IMACLIM v1.1,EMF27-550-FullTech,World,energyintensity,0.1%/y tolerance 2005-2040,NA,0.17364281323090236,NA
IMACLIM v1.1,EMF27-550-FullTech,World,fossilco2,0.1%/y tolerance 2005-2040,-0.9112502896023412,0.6359695737217501,-0.027124653417146205
IMACLIM v1.1,EMF27-550-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,-0.3254303222306757,NA
IMACLIM v1.1,EMF27-550-FullTech,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMACLIM v1.1,EMF27-550-LimBio,World,co2intensity,0.1%/y tolerance 2005-2040,-0.19359857178086726,0.9119317023134365,0.4381330134158777
IMACLIM v1.1,EMF27-550-LimBio,World,energyintensity,0.1%/y tolerance 2005-2040,NA,0.28105673445010393,NA
IMACLIM v1.1,EMF27-550-LimBio,World,fossilco2,0.1%/y tolerance 2005-2040,-0.8704598274428251,0.7414516733306546,0.05063245871344907
IMACLIM v1.1,EMF27-550-LimBio,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,-0.3485844309546352,NA
IMACLIM v1.1,EMF27-550-LimBio,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMACLIM v1.1,EMF27-550-LimSW,World,co2intensity,0.1%/y tolerance 2005-2040,-0.2031888268558263,0.933027159889671,0.44607745128445786
IMACLIM v1.1,EMF27-550-LimSW,World,energyintensity,0.1%/y tolerance 2005-2040,NA,0.18372549656193649,NA
IMACLIM v1.1,EMF27-550-LimSW,World,fossilco2,0.1%/y tolerance 2005-2040,-0.9209540538203155,0.6809002733430096,-0.005608724012701127
IMACLIM v1.1,EMF27-550-LimSW,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,-0.33290005063034733,NA
IMACLIM v1.1,EMF27-550-LimSW,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMACLIM v1.1,EMF27-550-NucOff,World,co2intensity,0.1%/y tolerance 2005-2040,-0.16037742699864732,0.9503866286593242,0.4743448905201935
IMACLIM v1.1,EMF27-550-NucOff,World,energyintensity,0.1%/y tolerance 2005-2040,NA,0.11054150140065311,NA
