MODEL,SCENARIO,REGION,variable,percent,resulttype
REMIND-MAGPIE,SSP1-Baseline,OECD90,fossilco2,-0.0016469488203232352,growtherror
REMIND-MAGPIE,SSP1-Baseline,REF,fossilco2,-0.890089738544019,growtherror
REMIND-MAGPIE,SSP1-Baseline,World,fossilco2,-0.656616293243581,growtherror
REMIND-MAGPIE,SSP2-Baseline,ASIA,fossilco2,-0.13322213596374244,growtherror
REMIND-MAGPIE,SSP2-Baseline,LAM,fossilco2,0.7011013830472956,growtherror
REMIND-MAGPIE,SSP2-Baseline,MAF,fossilco2,1.6594884604406732,growtherror
REMIND-MAGPIE,SSP2-Baseline,OECD90,fossilco2,0.4857592401078956,growtherror
REMIND-MAGPIE,SSP2-Baseline,REF,fossilco2,-0.5357925086883537,growtherror
REMIND-MAGPIE,SSP2-Baseline,World,fossilco2,0.2768393974255279,growtherror
REMIND-MAGPIE,SSP5-Baseline,ASIA,fossilco2,-0.5482446280001754,growtherror
REMIND-MAGPIE,SSP5-Baseline,LAM,fossilco2,1.0058922570346525,growtherror
REMIND-MAGPIE,SSP5-Baseline,MAF,fossilco2,1.9490459767062434,growtherror
REMIND-MAGPIE,SSP5-Baseline,OECD90,fossilco2,0.8897658605928498,growtherror
REMIND-MAGPIE,SSP5-Baseline,REF,fossilco2,0.23745891412722506,growtherror
REMIND-MAGPIE,SSP5-Baseline,World,fossilco2,0.32676149121320397,growtherror
WITCH-GLOBIOM,SSP1-Baseline,ASIA,fossilco2,0.1734950034395233,growtherror
WITCH-GLOBIOM,SSP1-Baseline,LAM,fossilco2,0.12582624550974453,growtherror
WITCH-GLOBIOM,SSP1-Baseline,MAF,fossilco2,-0.9356257419206524,growtherror
WITCH-GLOBIOM,SSP1-Baseline,OECD90,fossilco2,1.2523698892403436,growtherror
WITCH-GLOBIOM,SSP1-Baseline,REF,fossilco2,1.3369446868724861,growtherror
WITCH-GLOBIOM,SSP1-Baseline,World,fossilco2,0.4418608290968813,growtherror
WITCH-GLOBIOM,SSP2-Baseline,ASIA,fossilco2,0.6125751310063814,growtherror
WITCH-GLOBIOM,SSP2-Baseline,LAM,fossilco2,0.8642731747436061,growtherror
WITCH-GLOBIOM,SSP2-Baseline,MAF,fossilco2,-0.4912937001873958,growtherror
WITCH-GLOBIOM,SSP2-Baseline,OECD90,fossilco2,1.5816728566816205,growtherror
WITCH-GLOBIOM,SSP2-Baseline,REF,fossilco2,2.157506007528773,growtherror
WITCH-GLOBIOM,SSP2-Baseline,World,fossilco2,0.8970445407001735,growtherror
WITCH-GLOBIOM,SSP3-Baseline,ASIA,fossilco2,1.3439910329344151,growtherror
WITCH-GLOBIOM,SSP3-Baseline,LAM,fossilco2,1.3409834975308486,growtherror
WITCH-GLOBIOM,SSP3-Baseline,MAF,fossilco2,0.08170314354470865,growtherror
WITCH-GLOBIOM,SSP3-Baseline,OECD90,fossilco2,2.0004087667761983,growtherror
WITCH-GLOBIOM,SSP3-Baseline,REF,fossilco2,3.2378819027007744,growtherror
WITCH-GLOBIOM,SSP3-Baseline,World,fossilco2,1.5315852242581316,growtherror
WITCH-GLOBIOM,SSP4-Baseline,ASIA,fossilco2,0.41426153970775825,growtherror
WITCH-GLOBIOM,SSP4-Baseline,LAM,fossilco2,0.5385868268593668,growtherror
WITCH-GLOBIOM,SSP4-Baseline,MAF,fossilco2,-0.6636798122434318,growtherror
WITCH-GLOBIOM,SSP4-Baseline,OECD90,fossilco2,1.5420371763274303,growtherror
WITCH-GLOBIOM,SSP4-Baseline,REF,fossilco2,1.8989074744221963,growtherror
WITCH-GLOBIOM,SSP4-Baseline,World,fossilco2,0.7423391640987462,growtherror
WITCH-GLOBIOM,SSP5-Baseline,ASIA,fossilco2,0.5177108489720386,growtherror
WITCH-GLOBIOM,SSP5-Baseline,LAM,fossilco2,0.39599541703566854,growtherror
WITCH-GLOBIOM,SSP5-Baseline,MAF,fossilco2,-0.42661111713875943,growtherror
WITCH-GLOBIOM,SSP5-Baseline,OECD90,fossilco2,1.7795291366666621,growtherror
WITCH-GLOBIOM,SSP5-Baseline,REF,fossilco2,2.5316498462362524,growtherror
WITCH-GLOBIOM,SSP5-Baseline,World,fossilco2,0.9432834991729038,growtherror
AIM/CGE,SSP1-Baseline,ASIA,pop,-0.1826997687030475,growtherror
AIM/CGE,SSP1-Baseline,LAM,pop,-0.15376555007534143,growtherror
AIM/CGE,SSP1-Baseline,MAF,pop,-0.4549381135099231,growtherror
AIM/CGE,SSP1-Baseline,OECD90,pop,-0.07433608786394419,growtherror
AIM/CGE,SSP1-Baseline,REF,pop,-0.1499233333330337,growtherror
AIM/CGE,SSP1-Baseline,World,pop,-0.20581992977202357,growtherror
AIM/CGE,SSP2-Baseline,ASIA,pop,-0.09449246066259276,growtherror
AIM/CGE,SSP2-Baseline,LAM,pop,-0.05524580895889497,growtherror
AIM/CGE,SSP2-Baseline,MAF,pop,-0.3098940554645697,growtherror
AIM/CGE,SSP2-Baseline,OECD90,pop,-0.08873471851668902,growtherror
AIM/CGE,SSP2-Baseline,REF,pop,-0.10169628091877639,growtherror
AIM/CGE,SSP2-Baseline,World,pop,-0.12272805162128675,growtherror
AIM/CGE,SSP3-Baseline,ASIA,pop,-0.014662469988602211,growtherror
AIM/CGE,SSP3-Baseline,LAM,pop,0.07093438973019794,growtherror
AIM/CGE,SSP3-Baseline,MAF,pop,-0.18238265021326727,growtherror
AIM/CGE,SSP3-Baseline,OECD90,pop,-0.18950847461343412,growtherror
AIM/CGE,SSP3-Baseline,REF,pop,-0.061775011919954104,growtherror
AIM/CGE,SSP3-Baseline,World,pop,-0.05815889389643236,growtherror
AIM/CGE,SSP4-Baseline,ASIA,pop,-0.13242335417339235,growtherror
AIM/CGE,SSP4-Baseline,LAM,pop,-0.08322729220897762,growtherror
AIM/CGE,SSP4-Baseline,MAF,pop,-0.2155050849741924,growtherror
AIM/CGE,SSP4-Baseline,OECD90,pop,-0.12693015251147804,growtherror
AIM/CGE,SSP4-Baseline,REF,pop,-0.15798405426675985,growtherror
AIM/CGE,SSP4-Baseline,World,pop,-0.13376338403984,growtherror
AIM/CGE,SSP5-Baseline,ASIA,pop,-0.1884678329215077,growtherror
AIM/CGE,SSP5-Baseline,LAM,pop,-0.18442089763329372,growtherror
AIM/CGE,SSP5-Baseline,MAF,pop,-0.4584336734693486,growtherror
AIM/CGE,SSP5-Baseline,OECD90,pop,0.015997311942139048,growtherror
AIM/CGE,SSP5-Baseline,REF,pop,-0.15015479985903318,growtherror
AIM/CGE,SSP5-Baseline,World,pop,-0.19798468758270782,growtherror
GCAM4,SSP1-Baseline,ASIA,pop,NA,growtherror
GCAM4,SSP1-Baseline,LAM,pop,NA,growtherror
GCAM4,SSP1-Baseline,MAF,pop,NA,growtherror
GCAM4,SSP1-Baseline,OECD90,pop,NA,growtherror
GCAM4,SSP1-Baseline,REF,pop,NA,growtherror
GCAM4,SSP1-Baseline,World,pop,NA,growtherror
GCAM4,SSP2-Baseline,ASIA,pop,NA,growtherror
GCAM4,SSP2-Baseline,LAM,pop,NA,growtherror
GCAM4,SSP2-Baseline,MAF,pop,NA,growtherror
GCAM4,SSP2-Baseline,OECD90,pop,NA,growtherror
GCAM4,SSP2-Baseline,REF,pop,NA,growtherror
GCAM4,SSP2-Baseline,World,pop,NA,growtherror
GCAM4,SSP3-Baseline,ASIA,pop,NA,growtherror
GCAM4,SSP3-Baseline,LAM,pop,NA,growtherror
GCAM4,SSP3-Baseline,MAF,pop,NA,growtherror
GCAM4,SSP3-Baseline,OECD90,pop,NA,growtherror
GCAM4,SSP3-Baseline,REF,pop,NA,growtherror
GCAM4,SSP3-Baseline,World,pop,NA,growtherror
GCAM4,SSP4-Baseline,ASIA,pop,-0.13220428161154707,growtherror
GCAM4,SSP4-Baseline,LAM,pop,-0.11325109840321546,growtherror
GCAM4,SSP4-Baseline,MAF,pop,-0.21625845093500162,growtherror
GCAM4,SSP4-Baseline,OECD90,pop,-0.180970299600555,growtherror
GCAM4,SSP4-Baseline,REF,pop,0.029286596697081613,growtherror
GCAM4,SSP4-Baseline,World,pop,-0.13642949220664669,growtherror
GCAM4,SSP5-Baseline,ASIA,pop,NA,growtherror
GCAM4,SSP5-Baseline,LAM,pop,NA,growtherror
GCAM4,SSP5-Baseline,MAF,pop,NA,growtherror
GCAM4,SSP5-Baseline,OECD90,pop,NA,growtherror
GCAM4,SSP5-Baseline,REF,pop,NA,growtherror
GCAM4,SSP5-Baseline,World,pop,NA,growtherror
IMAGE,SSP1-Baseline,ASIA,pop,-0.1804986706691708,growtherror
IMAGE,SSP1-Baseline,LAM,pop,-0.18480517747418412,growtherror
IMAGE,SSP1-Baseline,MAF,pop,-0.45486307531812686,growtherror
IMAGE,SSP1-Baseline,OECD90,pop,-0.0653475073933465,growtherror
IMAGE,SSP1-Baseline,REF,pop,-0.14706656914133343,growtherror
IMAGE,SSP1-Baseline,World,pop,-0.20494864346079988,growtherror
IMAGE,SSP2-Baseline,ASIA,pop,-0.09279956631358688,growtherror
IMAGE,SSP2-Baseline,LAM,pop,-0.08848940798215321,growtherror
IMAGE,SSP2-Baseline,MAF,pop,-0.3065234850292966,growtherror
