MODEL,SCENARIO,REGION,variable,DATABASE,sensitivity,percent
BET 1.5,EMF27-Base-LowEI,REF,pcgdpmer,AR5,percent,2.3398881189449114
BET 1.5,EMF27-Base-LowEI,World,pcgdpmer,AR5,percent,0.8111754909156477
BET 1.5,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,percent,0.3706399660998494
BET 1.5,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,percent,1.3253077796128019
BET 1.5,EMF27-Base-NucOff,MAF,pcgdpmer,AR5,percent,0.26407038975677466
BET 1.5,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,percent,0.6924863799545529
BET 1.5,EMF27-Base-NucOff,REF,pcgdpmer,AR5,percent,2.747021262914354
BET 1.5,EMF27-Base-NucOff,World,pcgdpmer,AR5,percent,0.7585899515094146
DNE21 V.11,AME Reference,ASIA,pcgdpmer,AR5,percent,-0.5328984088460103
DNE21 V.11,AME Reference,LAM,pcgdpmer,AR5,percent,0.9528584838250423
DNE21 V.11,AME Reference,MAF,pcgdpmer,AR5,percent,1.0319668691178023
DNE21 V.11,AME Reference,OECD90,pcgdpmer,AR5,percent,0.3119542935357612
DNE21 V.11,AME Reference,REF,pcgdpmer,AR5,percent,1.6134984441448914
DNE21 V.11,AME Reference,World,pcgdpmer,AR5,percent,0.20731136081815094
DNE21 V.12,AMPERE2-Base-FullTech-OPT,ASIA,pcgdpmer,AR5,percent,0.3797302650387505
DNE21 V.12,AMPERE2-Base-FullTech-OPT,LAM,pcgdpmer,AR5,percent,2.081714444620743
DNE21 V.12,AMPERE2-Base-FullTech-OPT,MAF,pcgdpmer,AR5,percent,1.838592406977647
DNE21 V.12,AMPERE2-Base-FullTech-OPT,OECD90,pcgdpmer,AR5,percent,0.4731812924308886
DNE21 V.12,AMPERE2-Base-FullTech-OPT,REF,pcgdpmer,AR5,percent,1.5626136637499897
DNE21 V.12,AMPERE2-Base-FullTech-OPT,World,pcgdpmer,AR5,percent,0.6141932187468537
DNE21 V.12,AMPERE2-Base-LowEI-OPT,ASIA,pcgdpmer,AR5,percent,0.3797302650387505
DNE21 V.12,AMPERE2-Base-LowEI-OPT,LAM,pcgdpmer,AR5,percent,2.081714444620743
DNE21 V.12,AMPERE2-Base-LowEI-OPT,MAF,pcgdpmer,AR5,percent,1.838592406977647
DNE21 V.12,AMPERE2-Base-LowEI-OPT,OECD90,pcgdpmer,AR5,percent,0.4731812924308886
DNE21 V.12,AMPERE2-Base-LowEI-OPT,REF,pcgdpmer,AR5,percent,1.5626136637499897
DNE21 V.12,AMPERE2-Base-LowEI-OPT,World,pcgdpmer,AR5,percent,0.6141932187468537
DNE21 V.12,AMPERE2-Base-NucOff-OPT,ASIA,pcgdpmer,AR5,percent,0.3797302650387505
DNE21 V.12,AMPERE2-Base-NucOff-OPT,LAM,pcgdpmer,AR5,percent,2.081714444620743
DNE21 V.12,AMPERE2-Base-NucOff-OPT,MAF,pcgdpmer,AR5,percent,1.838592406977647
DNE21 V.12,AMPERE2-Base-NucOff-OPT,OECD90,pcgdpmer,AR5,percent,0.4731812924308886
DNE21 V.12,AMPERE2-Base-NucOff-OPT,REF,pcgdpmer,AR5,percent,1.5626136637499897
DNE21 V.12,AMPERE2-Base-NucOff-OPT,World,pcgdpmer,AR5,percent,0.6141932187468537
DNE21 V.12,AMPERE3-Base,ASIA,pcgdpmer,AR5,percent,0.3797302650387505
DNE21 V.12,AMPERE3-Base,LAM,pcgdpmer,AR5,percent,2.081714444620743
DNE21 V.12,AMPERE3-Base,MAF,pcgdpmer,AR5,percent,1.838592406977647
DNE21 V.12,AMPERE3-Base,OECD90,pcgdpmer,AR5,percent,0.4731812924308886
DNE21 V.12,AMPERE3-Base,REF,pcgdpmer,AR5,percent,1.5626136637499897
DNE21 V.12,AMPERE3-Base,World,pcgdpmer,AR5,percent,0.6141932187468537
DNE21 V.12,Carbon tax 0,ASIA,pcgdpmer,AR5,percent,-0.5328984088460103
DNE21 V.12,Carbon tax 0,LAM,pcgdpmer,AR5,percent,0.9528584838250366
DNE21 V.12,Carbon tax 0,MAF,pcgdpmer,AR5,percent,1.0319668691178023
DNE21 V.12,Carbon tax 0,OECD90,pcgdpmer,AR5,percent,0.3119542935357612
DNE21 V.12,Carbon tax 0,REF,pcgdpmer,AR5,percent,1.6134984441448852
DNE21 V.12,Carbon tax 0,World,pcgdpmer,AR5,percent,0.20731136081815094
EC-IAM 2012,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,percent,-1.2540676727911422
EC-IAM 2012,EMF27-Base-Conv,LAM,pcgdpmer,AR5,percent,0.5598052703421579
EC-IAM 2012,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,percent,0.5923276722054489
EC-IAM 2012,EMF27-Base-Conv,REF,pcgdpmer,AR5,percent,0.677279346924403
EC-IAM 2012,EMF27-Base-Conv,World,pcgdpmer,AR5,percent,-0.2011429540699079
