MODEL,SCENARIO,REGION,variable,percent,resulttype,sensadj1,sensadj2,DATABASE,grerrsens1,grerrsens2
WITCH_EMF27,EMF27-Base-LimTech,LAM,pcgdpmer,2.1495176416498523,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.0534042799897456,2.430678262593524
WITCH_EMF27,EMF27-Base-LimTech,MAF,pcgdpmer,1.839126511203542,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.7389641095113206,2.182700334298613
WITCH_EMF27,EMF27-Base-LimTech,OECD90,pcgdpmer,0.4629262662902506,growtherror,0.371857896203182,0.20335995390724138,AR5,0.09106837008706858,0.2595663123830092
WITCH_EMF27,EMF27-Base-LimTech,REF,pcgdpmer,1.2950181227614252,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5343543051640154,1.2256343828836571
WITCH_EMF27,EMF27-Base-LimTech,World,pcgdpmer,0.6037769258641632,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.3231132638527259,0.5175218969844171
WITCH_EMF27,EMF27-Base-LowEI,ASIA,pcgdpmer,1.179939801086837,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,1.2952874190555796,1.3640731941139235
WITCH_EMF27,EMF27-Base-LowEI,LAM,pcgdpmer,2.199216309009764,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.103102947349657,2.4803769299534357
WITCH_EMF27,EMF27-Base-LowEI,MAF,pcgdpmer,1.8602497466685382,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.7600873449763168,2.203823569763609
WITCH_EMF27,EMF27-Base-LowEI,OECD90,pcgdpmer,0.5033667105572773,growtherror,0.371857896203182,0.20335995390724138,AR5,0.13150881435409534,0.30000675665003596
WITCH_EMF27,EMF27-Base-LowEI,REF,pcgdpmer,1.374587295078086,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.6139234774806761,1.3052035552003178
WITCH_EMF27,EMF27-Base-LowEI,World,pcgdpmer,0.6971116864640339,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.41644802445259654,0.6108566575842878
WITCH_EMF27,EMF27-Base-NucOff,ASIA,pcgdpmer,0.9242971776792787,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,1.0396447956480213,1.108430570706365
WITCH_EMF27,EMF27-Base-NucOff,LAM,pcgdpmer,2.1476978336885577,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.051584472028451,2.4288584546322296
WITCH_EMF27,EMF27-Base-NucOff,MAF,pcgdpmer,1.8219005432508766,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.7217381415586552,2.1654743663459475
WITCH_EMF27,EMF27-Base-NucOff,OECD90,pcgdpmer,0.4693578899909757,growtherror,0.371857896203182,0.20335995390724138,AR5,0.09749999378779373,0.26599793608373434
WITCH_EMF27,EMF27-Base-NucOff,REF,pcgdpmer,1.2948033995991994,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5341395820017896,1.2254196597214313
WITCH_EMF27,EMF27-Base-NucOff,World,pcgdpmer,0.6080398752492642,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.32737621323782684,0.521784846369518
WITCH_LIMITS,LIMITS-Base,ASIA,pcgdpmer,0.9145101832756454,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,1.029857801244388,1.0986435763027318
WITCH_LIMITS,LIMITS-Base,LAM,pcgdpmer,2.150362477674919,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.0542491160148124,2.431523098618591
WITCH_LIMITS,LIMITS-Base,MAF,pcgdpmer,1.8428939048683448,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.7427315031761235,2.1864677279634157
WITCH_LIMITS,LIMITS-Base,OECD90,pcgdpmer,0.46269017980175853,growtherror,0.371857896203182,0.20335995390724138,AR5,0.09083228359857654,0.25933022589451715
WITCH_LIMITS,LIMITS-Base,REF,pcgdpmer,1.3200873222143845,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5594235046169747,1.2507035823366164
WITCH_LIMITS,LIMITS-Base,World,pcgdpmer,0.6048859105517697,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.3242222485403323,0.5186308816720235
WITCH_ROSE,ROSE BAU DEF,ASIA,pcgdpmer,0.5915683346175749,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.7069159525863176,0.7757017276446614
WITCH_ROSE,ROSE BAU DEF,LAM,pcgdpmer,2.1342885137177157,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.038175152057609,2.4154491346613876
WITCH_ROSE,ROSE BAU DEF,MAF,pcgdpmer,2.2950590351873514,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.19489663349513,2.6386328582824223
WITCH_ROSE,ROSE BAU DEF,OECD90,pcgdpmer,0.9190555267738976,growtherror,0.371857896203182,0.20335995390724138,AR5,0.5471976305707156,0.7156955728666562
WITCH_ROSE,ROSE BAU DEF,REF,pcgdpmer,1.277282095385404,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5166182777879942,1.207898355507636
WITCH_ROSE,ROSE BAU DEF,World,pcgdpmer,0.7679177079907267,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.48725404597928934,0.6816626791109806
WITCH_ROSE,ROSE BAU FS Gr,ASIA,pcgdpmer,0.4876684392796571,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.6030160572483998,0.6718018323067436
WITCH_ROSE,ROSE BAU FS Gr,LAM,pcgdpmer,2.4974787708181787,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.401365409158072,2.7786393917618506
WITCH_ROSE,ROSE BAU FS Gr,MAF,pcgdpmer,2.500316197928138,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.4001537962359167,2.843890021023209
WITCH_ROSE,ROSE BAU FS Gr,OECD90,pcgdpmer,1.351364901684938,growtherror,0.371857896203182,0.20335995390724138,AR5,0.9795070054817561,1.1480049477776966
WITCH_ROSE,ROSE BAU FS Gr,REF,pcgdpmer,1.411918456166453,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.6512546385690432,1.342534716288685
WITCH_ROSE,ROSE BAU FS Gr,World,pcgdpmer,1.0738393001269015,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.7931756381154642,0.9875842712471554
WITCH_ROSE,ROSE BAU FS Gr SL Con,ASIA,pcgdpmer,-0.7612667370099759,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.6459191190412332,-0.5771333439828894
WITCH_ROSE,ROSE BAU FS Gr SL Con,LAM,pcgdpmer,1.864191207089227,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.7680778454291204,2.145351828032899
WITCH_ROSE,ROSE BAU FS Gr SL Con,MAF,pcgdpmer,1.9661618646765207,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.8659994629842993,2.3097356877715916
WITCH_ROSE,ROSE BAU FS Gr SL Con,OECD90,pcgdpmer,1.354168078652238,growtherror,0.371857896203182,0.20335995390724138,AR5,0.9823101824490561,1.1508081247449966
WITCH_ROSE,ROSE BAU FS Gr SL Con,REF,pcgdpmer,1.2441400366746542,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.48347621907724436,1.174756296796886
WITCH_ROSE,ROSE BAU FS Gr SL Con,World,pcgdpmer,0.8003153239430585,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.5196516619316212,0.7140602950633124
WITCH_ROSE,ROSE BAU HI Coal,ASIA,pcgdpmer,0.584398089658223,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.6997457076269658,0.7685314826853096
WITCH_ROSE,ROSE BAU HI Coal,LAM,pcgdpmer,2.1589873215757227,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.062873959915616,2.4401479425193946
WITCH_ROSE,ROSE BAU HI Coal,MAF,pcgdpmer,2.3627126066409647,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.2625502049487434,2.7062864297360356
WITCH_ROSE,ROSE BAU HI Coal,OECD90,pcgdpmer,0.9064009559917556,growtherror,0.371857896203182,0.20335995390724138,AR5,0.5345430597885736,0.7030410020845143
WITCH_ROSE,ROSE BAU HI Coal,REF,pcgdpmer,1.2778843489492004,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5172205313517906,1.2085006090714323
WITCH_ROSE,ROSE BAU HI Coal,World,pcgdpmer,0.7640758395174534,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.48341217750601606,0.6778208106377073
WITCH_ROSE,ROSE BAU HI Fos,ASIA,pcgdpmer,0.59419519006384,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.7095428080325827,0.7783285830909266
WITCH_ROSE,ROSE BAU HI Fos,LAM,pcgdpmer,2.124473931591114,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.0283605699310074,2.405634552534786
WITCH_ROSE,ROSE BAU HI Fos,MAF,pcgdpmer,2.276353809701592,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.1761914080093705,2.6199276327966627
WITCH_ROSE,ROSE BAU HI Fos,OECD90,pcgdpmer,0.9331131478950137,growtherror,0.371857896203182,0.20335995390724138,AR5,0.5612552516918317,0.7297531939877723
