MODEL,SCENARIO,REGION,variable,percent,resulttype
BET 1.5,EMF27-Base-LimTech,World,fossilco2,0.565122861528365,growtherror
BET 1.5,EMF27-Base-LowEI,ASIA,fossilco2,-0.23991124852343582,growtherror
BET 1.5,EMF27-Base-LowEI,LAM,fossilco2,0.5564271208976659,growtherror
BET 1.5,EMF27-Base-LowEI,MAF,fossilco2,-0.7723471991610169,growtherror
BET 1.5,EMF27-Base-LowEI,OECD90,fossilco2,1.608388857344929,growtherror
BET 1.5,EMF27-Base-LowEI,REF,fossilco2,1.7040200649193988,growtherror
BET 1.5,EMF27-Base-LowEI,World,fossilco2,0.5637183565481598,growtherror
BET 1.5,EMF27-Base-NucOff,ASIA,fossilco2,0.4207008936846357,growtherror
BET 1.5,EMF27-Base-NucOff,LAM,fossilco2,0.7161216773674113,growtherror
BET 1.5,EMF27-Base-NucOff,MAF,fossilco2,-0.7247630253970261,growtherror
BET 1.5,EMF27-Base-NucOff,OECD90,fossilco2,1.6962282028300608,growtherror
BET 1.5,EMF27-Base-NucOff,REF,fossilco2,1.946758333832381,growtherror
BET 1.5,EMF27-Base-NucOff,World,fossilco2,0.930757302802639,growtherror
DNE21 V.11,AME Reference,ASIA,fossilco2,0.11573156450093425,growtherror
DNE21 V.11,AME Reference,LAM,fossilco2,0.8145141809152401,growtherror
DNE21 V.11,AME Reference,MAF,fossilco2,0.1966129686589615,growtherror
DNE21 V.11,AME Reference,OECD90,fossilco2,2.07567430697672,growtherror
DNE21 V.11,AME Reference,REF,fossilco2,0.8151288575345461,growtherror
DNE21 V.11,AME Reference,World,fossilco2,0.925973590171975,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,ASIA,fossilco2,0.5803757241353988,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,LAM,fossilco2,1.202957724829254,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,MAF,fossilco2,0.7595716075835397,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,OECD90,fossilco2,2.6595861996507937,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,REF,fossilco2,1.1721501293144005,growtherror
DNE21 V.12,AMPERE2-Base-FullTech-OPT,World,fossilco2,1.257903515785322,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,ASIA,fossilco2,0.13646211255680996,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,LAM,fossilco2,0.7196575880184541,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,MAF,fossilco2,0.3415114684253324,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,OECD90,fossilco2,1.9966439145677217,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,REF,fossilco2,0.6236349644657107,growtherror
DNE21 V.12,AMPERE2-Base-LowEI-OPT,World,fossilco2,0.7381425918338602,growtherror
DNE21 V.12,AMPERE2-Base-NucOff-OPT,ASIA,fossilco2,0.6524376929289781,growtherror
DNE21 V.12,AMPERE2-Base-NucOff-OPT,LAM,fossilco2,1.2119148591513218,growtherror
